"Trait","Temperature_C","Replicate","Prothioconazole_mg_L","log10_Prothioconazole_mg_L","Rate_raw","log10_Rate"
"Respiration rate (C C⁻¹ h⁻¹)",27,"R3",0.06,-1.22184874961636,0.088779615138053,-1.05168674198448
"Respiration rate (C C⁻¹ h⁻¹)",27,"R1",0.12,-0.920818753952375,0.129175721367693,-0.888819104505476
"Respiration rate (C C⁻¹ h⁻¹)",27,"R2",0.12,-0.920818753952375,0.0947697864980235,-1.02333009777378
"Respiration rate (C C⁻¹ h⁻¹)",27,"R3",0.12,-0.920818753952375,0.0624448829890442,-1.20450314384984
"Respiration rate (C C⁻¹ h⁻¹)",27,"R1",0.25,-0.602059991327962,0.26878354442846,-0.570597323351385
"Respiration rate (C C⁻¹ h⁻¹)",27,"R2",0.25,-0.602059991327962,0.127918305772066,-0.893067301284301
"Respiration rate (C C⁻¹ h⁻¹)",27,"R1",0.5,-0.301029995663981,0.12897342015452,-0.889499783263736
"Respiration rate (C C⁻¹ h⁻¹)",27,"R2",0.5,-0.301029995663981,0.0838802915894853,-1.07634006848466
"Respiration rate (C C⁻¹ h⁻¹)",27,"R3",0.5,-0.301029995663981,0.113441054248583,-0.945229746087183
"Respiration rate (C C⁻¹ h⁻¹)",27,"R1",1,0,0.096207021122111,-1.01679323229357
"Respiration rate (C C⁻¹ h⁻¹)",27,"R3",1,0,0.11919493148695,-0.923742211659959
"Respiration rate (C C⁻¹ h⁻¹)",27,"R1",2,0.301029995663981,0.162307530071884,-0.789661331111499
"Respiration rate (C C⁻¹ h⁻¹)",27,"R2",2,0.301029995663981,0.111173127907481,-0.954000175090598
"Respiration rate (C C⁻¹ h⁻¹)",27,"R3",2,0.301029995663981,0.112359020826033,-0.949392054195484
"Respiration rate (C C⁻¹ h⁻¹)",27,"R2",4,0.602059991327962,0.280492478540054,-0.552078779942031
"Respiration rate (C C⁻¹ h⁻¹)",27,"R3",4,0.602059991327962,0.207552978412346,-0.682871030058211
"Respiration rate (C C⁻¹ h⁻¹)",28,"R3",0.06,-1.22184874961636,0.0913679738963804,-1.03920600555094
"Respiration rate (C C⁻¹ h⁻¹)",28,"R1",0.12,-0.920818753952375,0.11681866645735,-0.932487755753575
"Respiration rate (C C⁻¹ h⁻¹)",28,"R2",0.12,-0.920818753952375,0.0881465490485899,-1.05479468572986
"Respiration rate (C C⁻¹ h⁻¹)",28,"R2",0.25,-0.602059991327962,0.11914578737656,-0.923921308344442
"Respiration rate (C C⁻¹ h⁻¹)",28,"R3",0.25,-0.602059991327962,0.0932164419763133,-1.03050747788427
"Respiration rate (C C⁻¹ h⁻¹)",28,"R1",0.5,-0.301029995663981,0.123211972695964,-0.909347089061592
"Respiration rate (C C⁻¹ h⁻¹)",28,"R2",0.5,-0.301029995663981,0.109570083262733,-0.960308008328779
"Respiration rate (C C⁻¹ h⁻¹)",28,"R3",0.5,-0.301029995663981,0.289911049118234,-0.537735232455848
"Respiration rate (C C⁻¹ h⁻¹)",28,"R2",1,0,0.128377104116416,-0.891512425196728
"Respiration rate (C C⁻¹ h⁻¹)",28,"R3",1,0,0.114503844299598,-0.941179932275399
"Respiration rate (C C⁻¹ h⁻¹)",28,"R1",2,0.301029995663981,0.121430561607658,-0.915671996397627
"Respiration rate (C C⁻¹ h⁻¹)",28,"R2",2,0.301029995663981,0.18022055663099,-0.744195673278008
"Respiration rate (C C⁻¹ h⁻¹)",28,"R3",2,0.301029995663981,0.141108477548531,-0.85044689381512
"Respiration rate (C C⁻¹ h⁻¹)",28,"R1",4,0.602059991327962,0.156556360073224,-0.805329284555536
"Respiration rate (C C⁻¹ h⁻¹)",28,"R2",4,0.602059991327962,0.180456925814333,-0.743626445357163
"Respiration rate (C C⁻¹ h⁻¹)",28,"R3",4,0.602059991327962,0.159986270821199,-0.795917284609215
