,Topt,Topt_std,Length,Tm,Tm_std,T90,dCpt,dCpt_std,topt_source,TmTag
P05637,315.12531422926025,10,280,333.241058378634,4.07,,-5110.7730621491955,1000,predicted,Exp
P0AD99,317.716556284,10,439,328.717325,7.588735,,-3884.1308057650413,1000,BullShit,Mean
P0AB80,311.69352500674,10,309,320.89649283,4.07,323.68333333,-3195.3412741348448,1000,predicted,Exp
P0ABN5,321.8428781654583,10,433,338.842771312962,4.07,,-4566.21373060118,1000,BullShit,Exp
P0AFR2,317.10807639091666,10,559,327.224196090785,4.07,,-4445.699346822962,1000,BullShit,Exp
P06282,315.4054665150711,10,251,334.248800413925,4.07,,-4787.084752263068,1000,predicted,Exp
P0ABF8,313.4874917204658,10,182,327.349610505273,4.07,,-3526.3283247218874,1000,predicted,Exp
P23830,312.9669764725324,10,451,325.477253498318,4.07,,-3492.0397209677985,1000,experimental,Exp
P77788,317.47771635000004,10,135,328.717325,7.588735,,-3993.301735512142,1000,predicted,Mean
P0A7E5,313.36437582843996,10,545,321.71250298,4.07,322.95,-2802.62322579344,1000,experimental,Exp
P0AAE8,317.716556284,10,444,328.717325,7.588735,,-2100.6213217820923,1000,BullShit,Mean
P37306,313.14571635,10,297,328.717325,7.588735,,-4024.9054049535553,1000,predicted,Mean
P77624,317.716556284,10,316,328.717325,7.588735,,-3662.9416392970584,1000,BullShit,Mean
Q46807,317.716556284,10,310,328.717325,7.588735,,-2949.024741897797,1000,BullShit,Mean
P00968,314.25989935949997,10,1073,330.12805525,4.07,332.09,-3762.650534569079,1000,predicted,Exp
P0A6F1,312.00304500912,10,382,329.80124104,4.07,331.47,-3435.690402424092,1000,predicted,Exp
P0ABE9,312.42371634999995,10,219,328.717325,7.588735,,-6266.038379241877,1000,predicted,Mean
P61517,312.35717303568,10,220,328.47796056,4.07,331.75,-3217.8584656844755,1000,predicted,Exp
P0A6H8,318.13834441193194,10,486,329.752337092491,4.07,,-3877.698218045967,1000,BullShit,Exp
P0AA84,317.716556284,10,413,328.717325,7.588735,,-3398.7138664817153,1000,BullShit,Mean
P31551,315.3117163499999,10,261,328.717325,7.588735,,-3856.45448393407,1000,predicted,Mean
P21179,313.14571635,10,753,328.717325,7.588735,,-4047.3932120821855,1000,predicted,Mean
P13029,313.25092174267996,10,726,323.90151706,4.07,326.9,-5611.9793058244095,1000,predicted,Exp
P75780,316.6898920151936,10,760,326.198027127978,4.07,,-4611.619900147832,1000,BullShit,Exp
P38054,317.716556284,10,1047,328.717325,7.588735,,-4418.859366305343,1000,BullShit,Mean
P77211,317.716556284,10,457,328.717325,7.588735,,-3560.4522574371795,1000,BullShit,Mean
P77214,318.006804396232,10,110,329.42955535,4.07,335.55,-5880.776339366736,1000,BullShit,Exp
P77239,317.716556284,10,407,328.717325,7.588735,,-4215.260366955302,1000,BullShit,Mean
P69380,317.716556284,10,300,328.717325,7.588735,,-3004.479969144424,1000,BullShit,Mean
P32705,317.716556284,10,549,328.717325,7.588735,,-3547.5282194078864,1000,BullShit,Mean
P76372,320.4908528244181,10,326,335.525080546766,4.07,,-4560.8798316696675,1000,BullShit,Exp
P77319,317.716556284,10,556,328.717325,7.588735,,-4666.455565182748,1000,BullShit,Mean
P26602,316.03371634999996,10,165,328.717325,7.588735,,-2834.478795543417,1000,predicted,Mean
P12008,313.65248595086666,10,361,327.943114931175,4.07,,-4841.546688034014,1000,predicted,Exp
P69330,317.716556284,10,98,328.717325,7.588735,,-4746.7113023363245,1000,BullShit,Mean
P75726,311.70171634999997,10,510,328.717325,7.588735,,-4279.742815554171,1000,predicted,Mean
P0A9I1,312.42371634999995,10,302,328.717325,7.588735,,-5241.781532390552,1000,predicted,Mean
P0ABH7,314.1606671310199,10,427,332.36822709,4.07,334.15,-5229.86705144067,1000,predicted,Exp
P0AE74,317.716556284,10,487,328.717325,7.588735,,-2445.3095300329055,1000,BullShit,Mean
P0AE22,319.2689625294836,10,237,342.952023487351,4.07,,-4480.557896159084,1000,experimental,Exp
P0ABQ0,311.2138281866,10,406,319.1709647,4.07,320.55,-4634.284564892164,1000,predicted,Exp
P71242,317.716556284,10,426,328.717325,7.588735,,-2010.2817424540729,1000,BullShit,Mean
P17315,317.716556284,10,663,328.717325,7.588735,,-3108.4305982563073,1000,BullShit,Mean
P52095,316.27884668895996,10,713,342.58470032,4.07,345.75,-3173.3780457328303,1000,predicted,Exp
P21169,316.30141740896556,10,711,334.874523053833,4.07,,-5193.275922727732,1000,predicted,Exp
Q59385,312.49285293172,10,834,328.96601774,4.07,330.95,-3859.8544415082315,1000,predicted,Exp
P0A9H5,316.594198470178,10,196,328.136325432295,4.07,,-1058.1512869353833,1000,predicted,Exp
P31552,314.58971635,10,517,328.717325,7.588735,,-5243.259253298295,1000,predicted,Mean
P00816,314.58971635,10,156,328.717325,7.588735,,-4957.5953487423885,1000,predicted,Mean
P17583,317.716556284,10,384,328.717325,7.588735,,-6009.396915646241,1000,BullShit,Mean
P0A738,313.86771635,10,161,328.717325,7.588735,,-3941.238231369913,1000,predicted,Mean
P0A9H7,315.1110837231489,10,382,325.398502601255,4.07,,-3100.9404204961984,1000,predicted,Exp
P06721,309.25790435982003,10,395,322.52375669,4.07,325.35,-4252.170827249554,1000,predicted,Exp
P00935,310.09661475072,10,386,322.94357824,4.07,325.01666667,-2738.1762969690426,1000,predicted,Exp
Q46925,316.90043969436186,10,401,337.029279476122,4.07,,-4467.302788394461,1000,predicted,Exp
P77444,312.53920053274896,10,406,331.729858031471,4.07,,-5853.610895677567,1000,predicted,Exp
P0A6B7,311.94040220062,10,404,321.78454029,4.07,323.95,-3715.312271036102,1000,predicted,Exp
P76194,317.716556284,10,138,328.717325,7.588735,,-3967.20077408023,1000,BullShit,Mean
P0ABK5,315.7512612220911,10,323,338.089788568673,4.07,,-3448.5310034830377,1000,predicted,Exp
P16703,316.0967673984368,10,303,334.138371936823,4.07,,-3776.9438567801867,1000,predicted,Exp
P21888,312.84970010964,10,461,327.65251838,4.07,332.75,-3840.9791001073363,1000,predicted,Exp
P38101,317.716556284,10,195,328.717325,7.588735,,-3904.9065374461993,1000,BullShit,Mean
P0ABF6,315.32205517278,10,294,328.75451501,4.07,330.55,-4486.748874922061,1000,predicted,Exp
P0A6I0,311.91474651124815,10,227,326.8864982419,4.07,,-4123.2062757590165,1000,predicted,Exp
P0ABJ9,319.96082848145574,10,522,353.232116839769,4.07,,-2549.30270215342,1000,predicted,Exp
P0ABK2,313.29671871883994,10,379,318.87200978,4.07,322.95,-3850.867291479683,1000,predicted,Exp
P26458,313.86771635,10,378,328.717325,7.588735,,-3857.940817053167,1000,predicted,Mean
P26459,313.86771635,10,514,328.717325,7.588735,,-5751.6649455965235,1000,predicted,Mean
P0ABI8,312.44623653409997,10,663,321.00696595,4.07,322.15,-3100.187121468258,1000,predicted,Exp
P0ABJ1,315.19121793781585,10,315,338.672366682791,4.07,,-2605.88669748459,1000,predicted,Exp
P0ABJ3,317.716556284,10,204,328.717325,7.588735,,-2219.3108971632264,1000,BullShit,Mean
P0ABJ6,317.716556284,10,109,328.717325,7.588735,,-4647.358782323669,1000,BullShit,Mean
P33931,317.47771635000004,10,207,328.717325,7.588735,,-2964.5367383005314,1000,predicted,Mean
P0ABK9,317.7209114796825,10,478,328.728012072248,4.07,,-4013.72506787912,1000,BullShit,Exp
P69490,317.64281550271147,10,159,328.536374908499,4.07,,-4818.028330677187,1000,BullShit,Exp
P0ABL5,317.716556284,10,200,328.717325,7.588735,,-5147.442917658269,1000,BullShit,Mean
P0ABL1,317.716556284,10,188,328.717325,7.588735,,-5283.75151146216,1000,BullShit,Mean
P33226,317.716556284,10,390,328.717325,7.588735,,-3838.2857999990347,1000,BullShit,Mean
P52005,317.716556284,10,366,328.717325,7.588735,,-5018.577547769794,1000,BullShit,Mean
P26612,318.8197104216,10,495,328.3503972,4.07,328.95,-4671.484056178338,1000,predicted,Exp
P62601,316.03371634999996,10,549,328.717325,7.588735,,-3770.940606088539,1000,predicted,Mean
P25524,318.4219884373189,10,427,347.69672099755,4.07,,-3292.55587711106,1000,predicted,Exp
P0AA82,317.716556284,10,419,328.717325,7.588735,,-4983.390106077789,1000,BullShit,Mean
P68767,316.96174077771394,10,503,345.041153876669,4.07,,-4448.8613911111,1000,predicted,Exp
P15288,314.99173036622,10,485,337.95478549,4.07,339.68333333,-2819.779796825868,1000,predicted,Exp
P0A9T0,311.81800354428,10,410,329.13562426,4.07,330.45,-4086.39526463123,1000,predicted,Exp
P0A6J8,310.94888532613993,10,364,320.81505513,4.07,322.65,-2763.7516003236237,1000,predicted,Exp
P07862,313.11363384279997,10,306,331.1990426,4.07,333.85,-3432.9262053155844,1000,predicted,Exp
P08506,312.56829311459995,10,400,324.0431407,4.07,325.15,-4899.900649586152,1000,predicted,Exp
P0AEB2,313.8345390018408,10,403,326.000859718852,4.07,,-3821.7599532307963,1000,predicted,Exp
P24228,314.73999894038394,10,477,326.660787555338,4.07,,-4459.645770313511,1000,experimental,Exp
P33013,312.42371634999995,10,388,328.717325,7.588735,,-2622.445158604597,1000,predicted,Mean
P77790,316.75571635,10,193,328.717325,7.588735,,-3685.1795043435736,1000,predicted,Mean
P0AFI5,315.99796507388146,10,310,324.500130236262,4.07,,-5776.753148220761,1000,BullShit,Exp
P32721,311.70171634999997,10,510,328.717325,7.588735,,-5369.248738241546,1000,predicted,Mean
P32718,313.86771635,10,309,328.717325,7.588735,,-5709.226158191037,1000,predicted,Mean
P32720,317.716556284,10,326,328.717325,7.588735,,-3645.39437653698,1000,BullShit,Mean
P39265,317.5398326308534,10,311,328.283668607316,4.07,,-4906.103441334299,1000,BullShit,Exp
P32719,317.716556284,10,231,328.717325,7.588735,,-4520.363344980798,1000,BullShit,Mean
P0A6J5,316.5930459126023,10,432,325.960379644195,4.07,,-4451.006900945275,1000,BullShit,Exp
P76316,317.58858856841823,10,328,347.29600204467,4.07,,-3193.993447705071,1000,predicted,Exp
P0A9B6,311.9468294857542,10,339,324.404782322857,4.07,,-3444.2588260707466,1000,predicted,Exp
Q6BF17,314.58971635,10,382,328.717325,7.588735,,-5656.002652748217,1000,predicted,Mean
P0AA76,317.716556284,10,430,328.717325,7.588735,,-3661.2462758036486,1000,BullShit,Mean
P0AEE5,315.6011989984288,10,332,323.52651894,4.07,325.41666667,-3774.8309315078614,1000,BullShit,Exp
P63228,313.7808925148515,10,191,325.80788674407,4.07,,-5027.885611816066,1000,predicted,Exp
P52643,314.79000689144,10,329,337.22916148,4.07,339.15,-5242.908712217969,1000,predicted,Exp
P76251,314.7840006449015,10,361,326.819067067991,4.07,,-4081.2571391616007,1000,experimental,Exp
P39160,314.1420016489154,10,486,329.703962765883,4.07,,-3179.1516539010736,1000,predicted,Exp
P31547,319.1183466185828,10,217,332.157132456279,4.07,,-4024.702122080581,1000,BullShit,Exp
P28635,324.82848486141364,10,271,346.169053939472,4.07,,-3809.047068265711,1000,BullShit,Exp
P04982,320.8947499613287,10,139,341.008812810535,4.07,,-2945.475773526646,1000,predicted,Exp
P00926,313.22746609960666,10,442,329.011388847506,4.07,,-2927.2405818652105,1000,predicted,Exp
P0AAE0,316.7254198977566,10,470,326.285207837055,4.07,,-6422.213753269689,1000,BullShit,Exp
P0AB74,313.14571635,10,286,328.717325,7.588735,,-4483.254226701491,1000,predicted,Mean
P0C8J6,311.63656058492,10,284,323.28870714,4.07,326.35,-3259.00079313809,1000,predicted,Exp
P0C8J8,315.03437796743196,10,420,322.13561535,4.07,324.05,-3504.309955452503,1000,BullShit,Exp
P0C8K0,317.716556284,10,426,328.717325,7.588735,,-2624.7424691091846,1000,BullShit,Mean
P37387,317.41761900352094,10,330,327.983772584219,4.07,,-6593.610317054912,1000,BullShit,Exp
P0AGF4,317.716556284,10,491,328.717325,7.588735,,-4167.583608618668,1000,BullShit,Mean
P15042,310.53695209576,10,671,319.33328092,4.07,320.15,-5146.8502744456755,1000,predicted,Exp
P0ACB2,316.08729188826,10,324,336.70140967,4.07,339.0,-4850.9672737840065,1000,predicted,Exp
P15723,312.90313974564,10,505,320.05338038,4.07,322.55,-4918.600198528587,1000,predicted,Exp
P0A6L0,311.43050068047995,10,259,319.95036216,4.07,320.95,-3487.646407145391,1000,predicted,Exp
P06968,316.84013725195996,10,152,342.00660882,4.07,344.15,-2616.749046425778,1000,predicted,Exp
P0A6I9,315.1498012144547,10,206,325.537774152715,4.07,,-2035.3083264528325,1000,predicted,Exp
P0ABN1,315.6304988081599,10,122,329.864024489784,4.07,,-3622.7618642686734,1000,predicted,Exp
P00861,310.47687187556005,10,420,319.11716502,4.07,320.95,-5517.873446139392,1000,predicted,Exp
P0A6K1,312.60166478504,10,274,324.16318268,4.07,325.55,-3670.3233237657396,1000,predicted,Exp
P66899,314.58971635,10,398,328.717325,7.588735,,-3272.066097038222,1000,predicted,Mean
P0ABQ4,313.6805778308312,10,159,325.447042556947,4.07,,-4819.763590410188,1000,predicted,Exp
P08192,310.52583871711994,10,422,321.89042704,4.07,326.15,-5661.097025496752,1000,predicted,Exp
P0A9P0,317.3853030244948,10,474,330.982025267967,4.07,,-4729.494866415426,1000,predicted,Exp
P06959,318.99809527592,10,630,331.58919164,4.07,333.4,-4392.243695761925,1000,predicted,Exp
P0AFG6,314.3253983209342,10,405,327.766540722785,4.07,,-4947.351612620359,1000,predicted,Exp
P0AFS3,314.7037912368536,10,240,336.919033226092,4.07,,-4526.67814987199,1000,predicted,Exp
P0AC16,317.75161014544,10,122,329.70255448,4.07,330.75,-3096.365953274435,1000,predicted,Exp
P0AC19,330.6089484930289,10,120,349.980749974924,4.07,,-4116.387981880699,1000,experimental,Exp
P0AFC0,315.3117163499999,10,150,328.717325,7.588735,,-4189.177852923713,1000,predicted,Mean
P05020,312.91818132206,10,348,320.10748677,4.07,342.75,-2763.206108957287,1000,predicted,Exp
P0A7E1,314.5996933383357,10,336,331.350335749409,4.07,,-2921.3075453041993,1000,predicted,Exp
P0AC13,315.425019142087,10,282,329.124889000313,4.07,,-4670.485186323075,1000,experimental,Exp
P05791,313.85885674854,10,616,328.68545593,4.07,332.55,-5932.9658864562025,1000,predicted,Exp
P18775,317.70830849075105,10,814,337.338160038673,4.07,,-2273.8049528896026,1000,predicted,Exp
P36837,317.716556284,10,489,328.717325,7.588735,,-4752.454602392554,1000,BullShit,Mean
P39276,313.14571635,10,485,328.717325,7.588735,,-4590.453152054145,1000,predicted,Mean
P77304,317.3714612704627,10,500,338.723601692312,4.07,,-3582.601953954323,1000,predicted,Exp
P75742,317.716556284,10,493,328.717325,7.588735,,-2749.5567797288627,1000,BullShit,Mean
P0AAG0,317.74243549290634,10,327,328.780829144352,4.07,,-4268.684945785734,1000,BullShit,Exp
P37313,317.60595192792954,10,334,328.44591658797,4.07,,-7465.63946241196,1000,BullShit,Exp
P0AEF8,317.716556284,10,339,328.717325,7.588735,,-3691.2699734147736,1000,BullShit,Mean
P0AEG1,317.716556284,10,300,328.717325,7.588735,,-4588.673219142394,1000,BullShit,Mean
P23847,323.4453227945056,10,535,342.77495778,4.07,344.08333333,-6247.870756485925,1000,BullShit,Exp
P0A6M2,317.6987280146948,10,176,328.673576793028,4.07,,-3560.868206966953,1000,BullShit,Exp
P60472,314.67359479902444,10,253,326.421923737498,4.07,,-5851.311352151435,1000,experimental,Exp
P0A769,317.716556284,10,412,328.717325,7.588735,,-4200.827900650245,1000,BullShit,Mean
P0AG00,318.79693590099913,10,348,331.368433208184,4.07,,-4115.315861486992,1000,BullShit,Exp
P0C960,316.70195990308673,10,203,326.227640123397,4.07,,-4172.741773807641,1000,BullShit,Exp
P0A6P9,314.3735548658,10,432,322.7455211,4.07,328.15,-3414.131629543965,1000,predicted,Exp
P0AEK4,301.63259672071996,10,262,318.46869324,4.07,319.95,-2729.7401557866465,1000,experimental,Exp
P24077,317.716556284,10,416,328.717325,7.588735,,-4652.084907079062,1000,BullShit,Mean
P0ADI4,308.0449050327094,10,285,323.354694362264,4.07,,-1394.4579531826666,1000,predicted,Exp
P10378,308.06164561570284,10,536,326.012034588859,4.07,,-3970.833065769315,1000,predicted,Exp
P11454,304.26742018524,10,1293,320.15510858,4.07,321.25,-2209.5749218468936,1000,experimental,Exp
P19925,313.86771635,10,206,328.717325,7.588735,,-5329.173895643877,1000,predicted,Mean
P05459,310.97346846522004,10,378,323.50060599,4.07,325.55,-4680.30165787962,1000,predicted,Exp
P0AEJ6,314.22558022126157,10,453,332.60172741461,4.07,,-4104.591713957468,1000,predicted,Exp
P19636,313.59193278933856,10,295,327.725297803376,4.07,,-3940.3713530199984,1000,predicted,Exp
P0AFL6,312.07260428467293,10,513,324.857209657097,4.07,,-2650.4722372062847,1000,predicted,Exp
P75893,316.75571635,10,164,328.717325,7.588735,,-2400.5556543998227,1000,predicted,Mean
P80644,314.58971635,10,191,328.717325,7.588735,,-4772.396640751106,1000,predicted,Mean
P22939,311.67578083169656,10,299,323.429787164376,4.07,,-3440.033684714892,1000,predicted,Exp
P21177,311.2092940338,10,729,321.7517771,4.07,323.95,-3599.414185538456,1000,predicted,Exp
P77399,312.42371634999995,10,714,328.717325,7.588735,,-4007.7695918622935,1000,predicted,Mean
P33650,318.05085868238046,10,773,329.537658721978,4.07,,-4423.580768141918,1000,BullShit,Exp
P15031,316.6023569429469,10,255,325.983227677039,4.07,,-4048.620803960095,1000,BullShit,Exp
P13036,319.30013712501477,10,774,332.603222234528,4.07,,-3355.7165857860373,1000,BullShit,Exp
P15029,317.716556284,10,318,328.717325,7.588735,,-4500.6002810627115,1000,BullShit,Mean
P15030,317.716556284,10,332,328.717325,7.588735,,-3436.170135041379,1000,BullShit,Mean
P15028,320.6864000789476,10,300,336.004927559255,4.07,,-2551.786049912811,1000,BullShit,Exp
P77522,318.2145287178623,10,495,329.939283269195,4.07,,-3622.044426473558,1000,BullShit,Exp
P77689,318.93362194830735,10,423,331.703842629337,4.07,,-6521.016365769397,1000,BullShit,Exp
P0AAL3,317.716556284,10,231,328.717325,7.588735,,-2840.092336690994,1000,BullShit,Mean
P33934,317.716556284,10,287,328.717325,7.588735,,-4210.145877490913,1000,BullShit,Mean
P23876,317.716556284,10,334,328.717325,7.588735,,-3455.607678575594,1000,BullShit,Mean
P23877,317.716556284,10,330,328.717325,7.588735,,-2861.052924120838,1000,BullShit,Mean
P23878,317.716556284,10,271,328.717325,7.588735,,-4821.53503999503,1000,BullShit,Mean
P0AEL6,317.44069057147067,10,318,328.040387150252,4.07,,-4610.985516180089,1000,BullShit,Exp
P39405,317.716556284,10,262,328.717325,7.588735,,-3952.081098917575,1000,BullShit,Mean
P06971,323.24077738238446,10,747,342.273030482883,4.07,,-4711.191475533389,1000,BullShit,Exp
P05825,317.716556284,10,746,328.717325,7.588735,,-4662.378857958944,1000,BullShit,Mean
P23871,313.07562702840517,10,320,325.86808283599,4.07,,-3144.870012544663,1000,predicted,Exp
P16869,317.716556284,10,729,328.717325,7.588735,,-5147.942897042074,1000,BullShit,Mean
P0AG03,314.0741786253805,10,189,332.057117357484,4.07,,-2574.7977341415244,1000,predicted,Exp
P61949,314.2194948341056,10,176,320.13600028,4.07,329.55,-2299.2898062378736,1000,BullShit,Exp
P0ABY4,320.22057467300044,10,173,334.861853830488,4.07,,-3206.0502962756245,1000,BullShit,Exp
P28861,314.1120312616007,10,248,332.193277919427,4.07,,-4218.607654154269,1000,predicted,Exp
P24232,313.7604854335137,10,396,325.734479976668,4.07,,-3298.009325566612,1000,predicted,Exp
P09373,315.5831291050599,10,760,324.49938527,4.07,327.31,-4421.0685650524065,1000,predicted,Exp
P0AC23,320.5042654467151,10,285,335.557993341959,4.07,,-5298.068997458705,1000,BullShit,Exp
P77733,317.716556284,10,282,328.717325,7.588735,,-5311.179650771569,1000,BullShit,Mean
P07658,315.3117163499999,10,715,328.717325,7.588735,,-3543.4199201974056,1000,predicted,Mean
P0AEL0,319.3818447526621,10,211,332.803721909752,4.07,,-5277.603812523148,1000,BullShit,Exp
P0AAJ3,325.9381988445208,10,294,348.892144789264,4.07,,-3523.351726517076,1000,BullShit,Exp
P0AEK7,317.716556284,10,217,328.717325,7.588735,,-4122.539687700967,1000,BullShit,Mean
P24183,321.29066769465635,10,1015,345.030099621066,4.07,,-4862.121916583256,1000,predicted,Exp
P0AAJ5,329.6229505919539,10,300,357.934036591956,4.07,,-4405.231445304648,1000,BullShit,Exp
P32176,322.44398558562926,10,1016,359.567214336796,4.07,,-2967.371330985119,1000,predicted,Exp
P0AAK1,317.716556284,10,203,328.717325,7.588735,,-4068.0294881588247,1000,BullShit,Mean
P16429,317.716556284,10,608,328.717325,7.588735,,-4945.475519568594,1000,BullShit,Mean
P16430,317.716556284,10,307,328.717325,7.588735,,-4105.055124424346,1000,BullShit,Mean
P16431,317.716556284,10,569,328.717325,7.588735,,-4862.041329392517,1000,BullShit,Mean
P16432,317.716556284,10,180,328.717325,7.588735,,-3857.8580391542077,1000,BullShit,Mean
P16433,317.716556284,10,255,328.717325,7.588735,,-4622.259114477008,1000,BullShit,Mean
P33221,312.7590987819184,10,392,316.55238217,4.07,318.15,-1785.1651516892707,1000,BullShit,Exp
P69902,313.14571635,10,416,328.717325,7.588735,,-4090.0287556539593,1000,predicted,Mean
P37051,315.43683363822,10,280,331.76450949,4.07,332.55,-4665.269388912757,1000,predicted,Exp
P23917,315.92855236481995,10,302,336.13040419,4.07,337.75,-3942.950415588468,1000,predicted,Exp
P0A9C9,313.6500740227831,10,336,322.740194326558,4.07,,-4753.341995398109,1000,experimental,Exp
P21437,315.3117163499999,10,321,328.717325,7.588735,,-5227.245072898167,1000,experimental,Mean
P0A993,310.2171724577,10,332,315.58587215,4.07,316.95,-3488.958522458065,1000,predicted,Exp
P77475,316.66435278821774,10,188,326.135357254166,4.07,,-2187.5087704171538,1000,BullShit,Exp
P32669,317.4634511635989,10,220,328.096238622887,4.07,,-3710.5202108723706,1000,BullShit,Exp
P78055,320.153445498382,10,220,334.697127744361,4.07,,-4341.673439704295,1000,BullShit,Exp
P0A991,324.25117383819213,10,350,353.082279993497,4.07,,-4130.167990740932,1000,predicted,Exp
P0AB71,312.23042370179996,10,359,322.8277831,4.07,324.07,-1851.7648951461802,1000,predicted,Exp
P45541,317.716556284,10,276,328.717325,7.588735,,-4481.5464964579705,1000,BullShit,Mean
P45543,317.47771635000004,10,261,328.717325,7.588735,,-5284.934012357074,1000,predicted,Mean
P0AC00,317.716556284,10,340,328.717325,7.588735,,-5629.420250743886,1000,BullShit,Mean
P0AC33,311.18255494078,10,548,319.05847101,4.07,322.21666667,-5195.3318514906405,1000,predicted,Exp
P14407,314.70040798301204,10,548,329.11549634177,4.07,,-2338.7811692034084,1000,predicted,Exp
P05042,311.36138763086,10,467,322.29887637,4.07,323.55,-2785.3185637096058,1000,predicted,Exp
P00363,307.81196076234,10,602,319.91964303,4.07,321.15,-4580.794742141028,1000,experimental,Exp
P0AC47,316.7284995274938,10,244,336.410789667244,4.07,,-3117.3232238601695,1000,predicted,Exp
P0A8Q0,326.05471279869766,10,131,349.178054570813,4.07,,-4020.0439227243874,1000,BullShit,Exp
P0A8Q3,321.44699465218184,10,119,337.87132570716,4.07,,-6028.137972805642,1000,BullShit,Exp
P32055,313.14571635,10,321,328.717325,7.588735,,-4249.855722235314,1000,predicted,Mean
P0AC88,314.58971635,10,373,328.717325,7.588735,,-2809.9363580092913,1000,predicted,Mean
P32056,317.716556284,10,159,328.717325,7.588735,,-5012.178659798364,1000,BullShit,Mean
P37128,316.31353808890236,10,191,325.274504536961,4.07,,-3679.6515504811077,1000,BullShit,Exp
P60560,310.16366976634,10,347,320.58766103,4.07,327.15,-3556.241326178485,1000,predicted,Exp
P04079,315.02520296358,10,525,330.28382361,4.07,331.55,-4921.7092386099475,1000,predicted,Exp
P30745,313.86771635,10,329,328.717325,7.588735,,-3513.474960856946,1000,predicted,Mean
P0A6T5,313.14571635,10,222,328.717325,7.588735,,-3681.445003117742,1000,predicted,Mean
P0A7I7,315.65672467928,10,196,335.15260676,4.07,337.15,-3756.2264340399947,1000,predicted,Exp
P0AG20,312.75785598333647,10,744,324.725021522793,4.07,,-5715.790211829837,1000,predicted,Exp
P39829,312.43940659946423,10,523,326.176642444116,4.07,,-5112.500344584906,1000,predicted,Exp
P0A9S3,310.66143813652,10,346,327.57243934,4.07,329.75,-3342.0673637962736,1000,predicted,Exp
Q6BEX0,317.716556284,10,500,328.717325,7.588735,,-2841.4514002985043,1000,BullShit,Mean
P39328,317.716556284,10,341,328.717325,7.588735,,-3522.4851870947614,1000,BullShit,Mean
P39325,315.1862613927424,10,318,322.50831712,4.07,323.55,-4480.356626216188,1000,BullShit,Exp
P0A6T3,313.15024054845867,10,382,326.136476793017,4.07,,-3885.7151558124933,1000,predicted,Exp
P09148,310.67106361986,10,348,314.62145187,4.07,331.35,-3419.8992220425516,1000,predicted,Exp
P0AEP1,318.3820532786133,10,464,330.350366309907,4.07,,-3213.7863561755357,1000,BullShit,Exp
P0AAG8,311.70171634999997,10,506,328.717325,7.588735,,-4185.35525490482,1000,predicted,Mean
P23200,317.716556284,10,336,328.717325,7.588735,,-4009.729048104769,1000,BullShit,Mean
P77674,311.45585144548005,10,474,317.44442966,4.07,320.55,-6689.352374955139,1000,predicted,Exp
P25527,317.716556284,10,466,328.717325,7.588735,,-4173.263909974133,1000,BullShit,Mean
P07004,315.4466850563,10,417,336.99419085,4.07,338.63,-5660.609576281999,1000,predicted,Exp
P76038,314.58971635,10,254,328.717325,7.588735,,-4639.056880470752,1000,predicted,Mean
P37906,317.716556284,10,426,328.717325,7.588735,,-3390.3653347832887,1000,BullShit,Mean
P78061,314.58971635,10,472,328.717325,7.588735,,-4621.669825208141,1000,predicted,Mean
P0AES2,312.21032438955996,10,446,327.94972802,4.07,328.75,-3644.448948117211,1000,predicted,Exp
Q46915,317.716556284,10,446,328.717325,7.588735,,-3895.6729309766856,1000,BullShit,Mean
P0A6V8,310.74835534766,10,321,317.49660197,4.07,318.25,-4481.838033199394,1000,predicted,Exp
P0A759,315.1869377313,10,266,330.86560335,4.07,330.55,-2909.9348565337145,1000,predicted,Exp
P19926,320.4317694413,10,413,331.55204835,4.07,334.21666667,-3256.295374200279,1000,predicted,Exp
P0A6V1,317.37487501398556,10,431,341.33300364743,4.07,,-3294.8542743631488,1000,predicted,Exp
P37744,313.61149665813997,10,293,325.19854913,4.07,327.05,-5640.398879333491,1000,predicted,Exp
P61887,314.43641591202703,10,293,328.165884575637,4.07,,-3503.9347444333043,1000,predicted,Exp
P0AC53,314.11239067188,10,491,329.59744846,4.07,330.31666667,-1729.0584099035395,1000,predicted,Exp
P0A6T1,314.73171090424,10,549,331.82521908,4.07,333.42142857,-5066.387464733213,1000,predicted,Exp
P0A7B5,311.8186141617289,10,367,323.943576121327,4.07,,-2973.6665090055676,1000,predicted,Exp
P69908,317.45205172398,10,466,339.01349541,4.07,342.0,-3500.5077525702645,1000,predicted,Exp
P69910,317.34751986872,10,466,336.04035924,4.07,340.75,-5522.5627177779215,1000,experimental,Exp
P22634,311.848086893203,10,285,324.049593141018,4.07,,-2884.9401523250544,1000,predicted,Exp
P09831,313.16854247348,10,1486,331.39655566,4.07,333.65,-4848.963657031583,1000,predicted,Exp
P09832,316.11681211454,10,472,331.61335293,4.07,333.85769231,-4199.003857150668,1000,predicted,Exp
P0A6W9,311.397070748,10,518,314.635866,4.07,319.95,-4695.636612823346,1000,experimental,Exp
P04805,314.07374480429996,10,471,332.05555685,4.07,332.9,-5868.755964298349,1000,predicted,Exp
P23893,314.24215309752657,10,426,324.869975170959,4.07,,-3391.738856227205,1000,predicted,Exp
P0A959,313.3084790691428,10,405,326.70568010483,4.07,,-3232.185051603483,1000,predicted,Exp
