zt_gene,sc_gene
Mycgr3G68298,YJL109C
Mycgr3G107239,YER126C
Mycgr3G75925,YNL183C
Mycgr3G109419,YOL034W
Mycgr3G88889,YLR300W
Mycgr3G33011,YHR204W
Mycgr3G85700,YBR087W
Mycgr3G71222,YOL061W
Mycgr3G108818,YJL098W
Mycgr3G105557,YML063W
Mycgr3G71868,YML010W
Mycgr3G71375,YDR292C
Mycgr3G110081,YFL045C
Mycgr3G71733,YCL040W
Mycgr3G66671,YBL007C
Mycgr3G73426,YBR003W
Mycgr3G100367,YGL202W
Mycgr3G55916,YKL081W
Mycgr3G108597,YGR175C
Mycgr3G56573,YFL007W
Mycgr3G89224,YHR188C
Mycgr3G73860,YER055C
Mycgr3G72874,YOR070C
Mycgr3G87633,YHR002W
Mycgr3G39149,YER061C
Mycgr3G40742,YKL101W
Mycgr3G48728,YBR017C
Mycgr3G73310,YLR075W
Mycgr3G70713,YAL017W
Mycgr3G104090,YGL116W
Mycgr3G56657,YJR095W
Mycgr3G65750,YIL116W
Mycgr3G59096,YFR006W
Mycgr3G98194,YPL125W
Mycgr3G52902,YNL020C
Mycgr3G71192,YDL100C
Mycgr3G110326,YNL290W
Mycgr3G49696,YCR024C
Mycgr3G66489,YPR156C
Mycgr3G69980,YJL197W
Mycgr3G73621,YLR155C
Mycgr3G75806,YDR338C
Mycgr3G69290,YDR120C
Mycgr3G74372,YMR027W
Mycgr3G109040,YPL104W
Mycgr3G53455,YJL108C
Mycgr3G31414,YPL043W
Mycgr3G99340,YPL222W
Mycgr3G98880,YGL135W
Mycgr3G87034,YOL077C
Mycgr3G101073,YCR034W
Mycgr3G68319,YER145C
Mycgr3G34777,YOR233W
Mycgr3G50302,YOR090C
Mycgr3G95018,YOL145C
Mycgr3G104004,YGR135W
Mycgr3G102197,YGR214W
Mycgr3G108541,YER049W
Mycgr3G70159,YFR002W
Mycgr3G75105,YGL112C
Mycgr3G106278,YPL091W
Mycgr3G68931,YKL120W
Mycgr3G66273,YPL268W
Mycgr3G108627,YPR041W
Mycgr3G48763,YML080W
Mycgr3G74506,YLR056W
Mycgr3G73271,YKL064W
Mycgr3G67750,YER148W
Mycgr3G75543,YDR390C
Mycgr3G69330,YPR026W
Mycgr3G69324,YDR531W
Mycgr3G88242,YCL009C
Mycgr3G71332,YHR016C
Mycgr3G93945,YLR172C
Mycgr3G11322,YIL091C
Mycgr3G98587,YOR120W
Mycgr3G83423,YNL242W
Mycgr3G98253,YMR110C
Mycgr3G75460,YMR215W
Mycgr3G51218,YAR015W
Mycgr3G68643,YOR243C
Mycgr3G98423,YJR072C
Mycgr3G68344,YOR005C
Mycgr3G110811,YKR056W
Mycgr3G109462,YPR110C
Mycgr3G99553,YLR229C
Mycgr3G50149,YLR237W
Mycgr3G75204,YIL003W
Mycgr3G55692,YDR226W
Mycgr3G65163,YDR490C
Mycgr3G86562,YHR111W
Mycgr3G101587,YCL043C
Mycgr3G103683,YLL045C
Mycgr3G66507,YJR049C
Mycgr3G66160,YLR130C
Mycgr3G77089,YHR108W
Mycgr3G12986,YDR448W
Mycgr3G99758,YJR076C
Mycgr3G104155,YBR181C
Mycgr3G101413,YGR123C
Mycgr3G25122,YPL150W
Mycgr3G71299,YOR231W
Mycgr3G48316,YDR332W
Mycgr3G66663,YNL075W
Mycgr3G72043,YBR159W
Mycgr3G34912,YDL154W
Mycgr3G74097,YPR176C
Mycgr3G95660,YKR076W
Mycgr3G53366,YEL050C
Mycgr3G77102,YMR079W
Mycgr3G101664,YFR047C
Mycgr3G36264,YNL169C
Mycgr3G75991,YJL100W
Mycgr3G99268,YMR131C
Mycgr3G105064,YER094C
Mycgr3G61231,YOL062C
Mycgr3G100250,YDR415C
Mycgr3G86046,YKR089C
Mycgr3G85217,YJR091C
Mycgr3G66908,YKR080W
Mycgr3G108301,YJR105W
Mycgr3G71128,YLR362W
Mycgr3G72261,YJR051W
Mycgr3G71484,YOR161C
Mycgr3G68348,YJL213W
Mycgr3G103339,YJR123W
Mycgr3G101708,YGL203C
Mycgr3G67718,YPL145C
Mycgr3G108228,YCR094W
Mycgr3G71994,YJR013W
Mycgr3G42092,YPL116W
Mycgr3G46743,YOR380W
Mycgr3G86648,YMR092C
Mycgr3G73771,YJL001W
Mycgr3G109139,YLR351C
Mycgr3G31826,YCR105W
Mycgr3G55454,YOR184W
Mycgr3G107205,YMR012W
Mycgr3G102047,YEL040W
Mycgr3G69205,YHR202W
Mycgr3G32730,YDL201W
Mycgr3G69118,YML049C
Mycgr3G106762,YHR112C
Mycgr3G77701,YBR192W
Mycgr3G102943,YDL137W
Mycgr3G57734,YMR116C
Mycgr3G54172,YDR452W
Mycgr3G75289,YGL065C
Mycgr3G69248,YBL037W
Mycgr3G49704,YJL095W
Mycgr3G107800,YDR245W
Mycgr3G68116,YML086C
Mycgr3G37123,YBR247C
Mycgr3G110148,YBR234C
Mycgr3G74191,YIL162W
Mycgr3G71171,YFR048W
Mycgr3G100364,YDR301W
Mycgr3G109911,YKL004W
Mycgr3G108706,YCR068W
Mycgr3G13719,YMR166C
Mycgr3G72682,YMR243C
Mycgr3G109241,YNL280C
Mycgr3G52873,YHR005C
Mycgr3G73167,YLR243W
Mycgr3G22912,YBR043C
Mycgr3G111108,YPR004C
Mycgr3G73745,YCR072C
Mycgr3G39250,YPL212C
Mycgr3G98275,YLR216C
Mycgr3G71416,YLL057C
Mycgr3G68263,YLL019C
Mycgr3G111322,YGR056W
Mycgr3G73729,YOR362C
Mycgr3G87833,YHL003C
Mycgr3G72668,YGR028W
Mycgr3G102177,YGL011C
Mycgr3G100323,YPR125W
Mycgr3G39112,YGL097W
Mycgr3G49181,YNL271C
Mycgr3G46388,YGR267C
Mycgr3G21242,YJR110W
Mycgr3G106298,YER089C
Mycgr3G52885,YJR078W
Mycgr3G30155,YDL155W
Mycgr3G62864,YFL038C
Mycgr3G106396,YFL030W
Mycgr3G86647,YKL114C
Mycgr3G63781,YAL021C
Mycgr3G101240,YEL051W
Mycgr3G73544,YDR142C
Mycgr3G76712,YMR296C
Mycgr3G75392,YBR046C
Mycgr3G76608,YGR054W
Mycgr3G22578,YNL293W
Mycgr3G69894,YHR132C
Mycgr3G106397,YPR165W
Mycgr3G98311,YIL033C
Mycgr3G68164,YOL033W
Mycgr3G73841,YOR145C
Mycgr3G45489,YGR055W
Mycgr3G86865,YOR239W
Mycgr3G23705,YMR293C
Mycgr3G101851,YPR167C
Mycgr3G31520,YBL033C
Mycgr3G34973,YHR011W
Mycgr3G46259,YPR161C
Mycgr3G71246,YKL045W
Mycgr3G98811,YLR117C
Mycgr3G53364,YPR119W
Mycgr3G93579,YGR255C
Mycgr3G12724,YLR187W
Mycgr3G108724,YGL076C
Mycgr3G74362,YPL057C
Mycgr3G74633,YCR009C
Mycgr3G13866,YNL011C
Mycgr3G62083,YDR365C
Mycgr3G68017,YBR179C
Mycgr3G109284,YIR023W
Mycgr3G32474,YOR386W
Mycgr3G73955,YPR118W
Mycgr3G72053,YPL209C
Mycgr3G102499,YML004C
Mycgr3G76010,YFR037C
Mycgr3G87598,YNL207W
Mycgr3G70427,YIL046W
Mycgr3G101362,YLR310C
Mycgr3G88617,YER056C
Mycgr3G66750,YEL046C
Mycgr3G67037,YIL021W
Mycgr3G77366,YJL088W
Mycgr3G11098,YLR336C
Mycgr3G46584,YJL062W
Mycgr3G37793,YBR094W
Mycgr3G69875,YER119C
Mycgr3G35402,YBR227C
Mycgr3G98385,YBL064C
Mycgr3G41254,YNL256W
Mycgr3G35337,YHR070W
Mycgr3G110613,YHR128W
Mycgr3G76974,YPL263C
Mycgr3G106533,YBR189W
Mycgr3G74961,YKL139W
Mycgr3G63693,YIL105C
Mycgr3G61450,YLR209C
Mycgr3G52682,YJR036C
Mycgr3G88465,YIL083C
Mycgr3G68361,YDL205C
Mycgr3G69123,YLR203C
Mycgr3G72288,YAL042W
Mycgr3G47254,YHL036W
Mycgr3G70482,YLR055C
Mycgr3G73948,YOR272W
Mycgr3G78786,YPL218W
Mycgr3G110849,YER168C
Mycgr3G46922,YOR202W
Mycgr3G67202,YJL059W
Mycgr3G100108,YIR004W
Mycgr3G83867,YNL274C
Mycgr3G109098,YBR061C
Mycgr3G68826,YKL174C
Mycgr3G62428,YPL117C
Mycgr3G108464,YOR132W
Mycgr3G100608,YBR082C
Mycgr3G73064,YER021W
Mycgr3G41120,YJL091C
Mycgr3G67117,YBL072C
Mycgr3G100510,YPR011C
Mycgr3G84059,YPL088W
Mycgr3G76149,YAL067C
Mycgr3G69865,YPL214C
Mycgr3G76018,YNL138W
Mycgr3G103622,YLR019W
Mycgr3G55565,YKR079C
Mycgr3G29864,YPL030W
Mycgr3G65810,YLR017W
Mycgr3G89975,YKL001C
Mycgr3G73474,YDR211W
Mycgr3G24612,YGR202C
Mycgr3G74159,YIR006C
Mycgr3G109517,YBL061C
Mycgr3G71753,YDR364C
Mycgr3G101775,YPL260W
Mycgr3G76723,YCL038C
Mycgr3G35932,YCR098C
Mycgr3G67666,YKR081C
Mycgr3G109282,YLR196W
Mycgr3G53877,YJL106W
Mycgr3G77079,YPR058W
Mycgr3G90544,YJR098C
Mycgr3G105216,YGR085C
Mycgr3G57931,YJL080C
Mycgr3G41619,YNR015W
Mycgr3G106268,YER156C
Mycgr3G98910,YKR018C
Mycgr3G43945,YNL219C
Mycgr3G63697,YOR033C
Mycgr3G84158,YDR019C
Mycgr3G99123,YDR297W
Mycgr3G98802,YAL061W
Mycgr3G99631,YGR285C
Mycgr3G110071,YCR047C
Mycgr3G99493,YML001W
Mycgr3G108491,YDR280W
Mycgr3G70402,YPR141C
Mycgr3G30000,YBL052C
Mycgr3G101221,YOR091W
Mycgr3G100794,YDR523C
Mycgr3G100205,YJL036W
Mycgr3G10745,YGL083W
Mycgr3G55269,YGR083C
Mycgr3G71932,YJL092W
Mycgr3G75506,YBR133C
Mycgr3G66280,YLR328W
Mycgr3G43124,YGL169W
Mycgr3G74920,YIL067C
Mycgr3G23438,YOR306C
Mycgr3G71344,YML110C
Mycgr3G75376,YEL024W
Mycgr3G67314,YJL053W
Mycgr3G83424,YPR201W
Mycgr3G90679,YNL141W
Mycgr3G55968,YDR050C
Mycgr3G105119,YBL041W
Mycgr3G108281,YKL039W
Mycgr3G66463,YPL171C
Mycgr3G65843,YFR010W
Mycgr3G68358,YJL084C
Mycgr3G46396,YIL020C
Mycgr3G67878,YOL055C
Mycgr3G72966,YOR100C
Mycgr3G70324,YOR119C
Mycgr3G56835,YPL211W
Mycgr3G74352,YJR119C
Mycgr3G65863,YPL152W
Mycgr3G22156,YPL097W
Mycgr3G66426,YLR260W
Mycgr3G107306,YPR108W
Mycgr3G98722,YDR244W
Mycgr3G87434,YMR226C
Mycgr3G71908,YBL098W
Mycgr3G111073,YMR203W
Mycgr3G71918,YLR116W
Mycgr3G86683,YPR175W
Mycgr3G69317,YPL122C
Mycgr3G65916,YBR241C
Mycgr3G33206,YER087W
Mycgr3G55479,YMR314W
Mycgr3G80934,YBR039W
Mycgr3G98150,YGL186C
Mycgr3G44439,YCR048W
Mycgr3G109481,YBL067C
Mycgr3G76703,YML021C
Mycgr3G101782,YGR118W
Mycgr3G65527,YPL172C
Mycgr3G111451,YNL048W
Mycgr3G68892,YOR212W
Mycgr3G100283,YGR260W
Mycgr3G66060,YBR074W
Mycgr3G63807,YJL133W
Mycgr3G89199,YFL001W
Mycgr3G98741,YOL068C
Mycgr3G98945,YBR164C
Mycgr3G105379,YKR048C
Mycgr3G68275,YFR051C
Mycgr3G67327,YKL221W
Mycgr3G101408,YBR287W
Mycgr3G102406,YIL133C
Mycgr3G69965,YGR207C
Mycgr3G74061,YBL097W
Mycgr3G76772,YDR335W
Mycgr3G45479,YJR006W
Mycgr3G91224,YBL035C
Mycgr3G28304,YER031C
Mycgr3G88000,YKL152C
Mycgr3G76905,YGR216C
Mycgr3G69430,YHR008C
Mycgr3G88113,YLR380W
Mycgr3G98817,YIL022W
Mycgr3G54782,YMR237W
Mycgr3G40869,YPR031W
Mycgr3G86861,YLR247C
Mycgr3G49914,YLR383W
Mycgr3G49312,YLR088W
Mycgr3G76790,YDR427W
Mycgr3G74088,YDL101C
Mycgr3G111641,YHR123W
Mycgr3G34437,YMR242C
Mycgr3G84417,YBR028C
Mycgr3G100273,YIL121W
Mycgr3G74168,YFR050C
Mycgr3G75299,YOR101W
Mycgr3G83759,YBL104C
Mycgr3G111498,YLR319C
Mycgr3G10108,YHR119W
Mycgr3G45396,YJL204C
Mycgr3G70871,YKL150W
Mycgr3G69942,YIL043C
Mycgr3G101067,YML121W
Mycgr3G43318,YDR392W
Mycgr3G100444,YJL069C
Mycgr3G80478,YBR048W
Mycgr3G74955,YDR268W
Mycgr3G100470,YGR188C
Mycgr3G77698,YBR037C
Mycgr3G65833,YDL236W
Mycgr3G50735,YGL205W
Mycgr3G65543,YGL171W
Mycgr3G98664,YKL151C
Mycgr3G109480,YNR030W
Mycgr3G65747,YGL058W
Mycgr3G22400,YOR334W
Mycgr3G75334,YNL010W
Mycgr3G86118,YML130C
Mycgr3G107711,YGR282C
Mycgr3G66977,YJL121C
Mycgr3G31277,YML065W
Mycgr3G96834,YNL172W
Mycgr3G108350,YNL231C
Mycgr3G109621,YBR162C
Mycgr3G61558,YLL006W
Mycgr3G83894,YLR348C
Mycgr3G101478,YAL025C
Mycgr3G35500,YOR274W
Mycgr3G77753,YPL133C
Mycgr3G99680,YHL010C
Mycgr3G38706,YDR287W
Mycgr3G101238,YLR262C
Mycgr3G99982,YKR084C
Mycgr3G92316,YGR098C
Mycgr3G67951,YOR141C
Mycgr3G80995,YDR064W
Mycgr3G56633,YPL227C
Mycgr3G35447,YDR312W
Mycgr3G77085,YOR006C
Mycgr3G67812,YJR144W
Mycgr3G57915,YNR006W
Mycgr3G71143,YDR242W
Mycgr3G101670,YBR198C
Mycgr3G77447,YGR233C
Mycgr3G21413,YNL279W
Mycgr3G104912,YLR167W
Mycgr3G104294,YDR032C
Mycgr3G99145,YFL005W
Mycgr3G65137,YHR086W
Mycgr3G66711,YCR026C
Mycgr3G44624,YER012W
Mycgr3G50079,YJL115W
Mycgr3G25746,YGR187C
Mycgr3G24521,YOR245C
Mycgr3G90522,YNL090W
Mycgr3G62258,YOR262W
Mycgr3G109945,YDL017W
Mycgr3G24728,YHR009C
Mycgr3G101277,YHR026W
Mycgr3G50123,YMR223W
Mycgr3G47221,YNL003C
Mycgr3G66265,YLR020C
Mycgr3G55708,YDR450W
Mycgr3G14483,YIL153W
Mycgr3G64195,YBR274W
Mycgr3G68916,YHR142W
Mycgr3G104812,YBR010W
Mycgr3G69939,YLR002C
Mycgr3G109870,YGR189C
Mycgr3G68731,YKL190W
Mycgr3G66253,YMR235C
Mycgr3G107202,YJL068C
Mycgr3G95859,YDR017C
Mycgr3G96289,YJL207C
Mycgr3G70208,YGL038C
Mycgr3G71621,YJR024C
Mycgr3G85156,YFL054C
Mycgr3G55813,YML064C
Mycgr3G65799,YOL064C
Mycgr3G100061,YBR088C
Mycgr3G55345,YJR133W
Mycgr3G42170,YMR001C
Mycgr3G109208,YER068W
Mycgr3G40213,YKL191W
Mycgr3G69507,YNL202W
Mycgr3G100618,YPL015C
Mycgr3G38597,YNL201C
Mycgr3G100579,YOR022C
Mycgr3G48437,YMR023C
Mycgr3G76222,YKR051W
Mycgr3G107930,YNL022C
Mycgr3G64098,YJR096W
Mycgr3G74587,YGR048W
Mycgr3G84343,YDL119C
Mycgr3G44596,YPL155C
Mycgr3G67079,YOR039W
Mycgr3G45394,YLR299W
Mycgr3G71957,YKL013C
Mycgr3G76370,YDR376W
Mycgr3G99872,YAR003W
Mycgr3G111248,YER026C
Mycgr3G71005,YJL143W
Mycgr3G23946,YFL016C
Mycgr3G72947,YBR110W
Mycgr3G104898,YBL027W
Mycgr3G75916,YMR213W
Mycgr3G102881,YGL147C
Mycgr3G36382,YGL144C
Mycgr3G66023,YKR042W
Mycgr3G31461,YOR094W
Mycgr3G67138,YKL080W
Mycgr3G109902,YBL080C
Mycgr3G50997,YDR204W
Mycgr3G54552,YDR191W
Mycgr3G101589,YBR291C
Mycgr3G46243,YNL237W
Mycgr3G66333,YOR089C
Mycgr3G75847,YMR220W
Mycgr3G37582,YLR133W
Mycgr3G72903,YBR042C
Mycgr3G33174,YPL069C
Mycgr3G72878,YHR144C
Mycgr3G77528,YNR041C
Mycgr3G39370,YNL125C
Mycgr3G102005,YBL087C
Mycgr3G110427,YEL056W
Mycgr3G99061,YFL028C
Mycgr3G52282,YCR023C
Mycgr3G49421,YNL223W
Mycgr3G70921,YAL016W
Mycgr3G99122,YDR272W
Mycgr3G111327,YJL010C
Mycgr3G73498,YHR148W
Mycgr3G75755,YPR060C
Mycgr3G71444,YIL001W
Mycgr3G45390,YDL108W
Mycgr3G70961,YGR024C
Mycgr3G68570,YMR210W
Mycgr3G105843,YDR418W
Mycgr3G100453,YOR346W
Mycgr3G103449,YJL190C
Mycgr3G64768,YIL118W
Mycgr3G99159,YCR031C
Mycgr3G48516,YDR104C
Mycgr3G58046,YGR149W
Mycgr3G77923,YER151C
Mycgr3G99007,YKR070W
Mycgr3G103370,YBL040C
Mycgr3G52389,YDL159W
Mycgr3G50200,YAR019C
Mycgr3G64949,YJR125C
Mycgr3G35430,YNL016W
Mycgr3G104583,YNR029C
Mycgr3G23199,YBR214W
Mycgr3G71139,YPL247C
Mycgr3G67921,YOL002C
Mycgr3G67881,YKL196C
Mycgr3G101579,YDR371W
Mycgr3G45640,YBR035C
Mycgr3G67867,YDL083C
Mycgr3G40642,YHL002W
Mycgr3G70061,YGL049C
Mycgr3G40276,YIL034C
Mycgr3G109152,YLR103C
Mycgr3G71474,YBR200W
Mycgr3G68012,YDL006W
Mycgr3G98483,YDR324C
Mycgr3G22915,YHR168W
Mycgr3G58719,YDR092W
Mycgr3G71048,YMR099C
Mycgr3G50069,YER157W
Mycgr3G101727,YIL006W
Mycgr3G74650,YPR180W
Mycgr3G76870,YJL127C
Mycgr3G84472,YBR256C
Mycgr3G76399,YEL034W
Mycgr3G70672,YLR330W
Mycgr3G73868,YLR143W
Mycgr3G46378,YOL092W
Mycgr3G46840,YHR084W
Mycgr3G110505,YGL059W
Mycgr3G62271,YKL149C
Mycgr3G30315,YER129W
Mycgr3G75690,YDR346C
Mycgr3G48067,YGR261C
Mycgr3G38485,YDR326C
Mycgr3G66934,YNL240C
Mycgr3G37404,YLR405W
Mycgr3G71056,YER140W
Mycgr3G21181,YOR017W
Mycgr3G86952,YJL125C
Mycgr3G70000,YDR214W
Mycgr3G66394,YLR361C
Mycgr3G100575,YER019W
Mycgr3G103329,YKL180W
Mycgr3G60481,YDR339C
Mycgr3G37506,YKL025C
Mycgr3G69951,YDL226C
Mycgr3G66364,YKL205W
Mycgr3G103593,YJR104C
Mycgr3G30105,YMR253C
Mycgr3G68091,YER152C
Mycgr3G29926,YOR154W
Mycgr3G101108,YDL167C
Mycgr3G36443,YML014W
Mycgr3G96135,YPR135W
Mycgr3G86279,YPR066W
Mycgr3G74485,YIL134W
Mycgr3G42817,YGL131C
Mycgr3G98635,YBR261C
Mycgr3G72790,YBR155W
Mycgr3G53015,YGR278W
Mycgr3G59920,YJL187C
Mycgr3G70925,YEL012W
Mycgr3G110869,YKR026C
Mycgr3G67205,YPL132W
Mycgr3G81123,YGL103W
Mycgr3G54447,YEL027W
Mycgr3G34213,YDL058W
Mycgr3G39484,YML018C
Mycgr3G76713,YJL081C
Mycgr3G67588,YGR284C
Mycgr3G110650,YDR164C
Mycgr3G76401,YDR484W
Mycgr3G109990,YHR206W
Mycgr3G100619,YDR465C
Mycgr3G48084,YBL082C
Mycgr3G83899,YPL249C
Mycgr3G95071,YKL067W
Mycgr3G32207,YHR069C
Mycgr3G53825,YHR200W
Mycgr3G99314,YML020W
Mycgr3G66684,YJR073C
Mycgr3G64873,YML022W
Mycgr3G103868,YDR487C
Mycgr3G43980,YBR154C
Mycgr3G30146,YCL064C
Mycgr3G103549,YPR086W
Mycgr3G54222,YMR137C
Mycgr3G54540,YML097C
Mycgr3G44978,YDR155C
Mycgr3G74367,YMR283C
Mycgr3G104028,YOR096W
Mycgr3G49350,YPL123C
Mycgr3G32367,YPL063W
Mycgr3G102352,YHR114W
Mycgr3G91513,YEL013W
Mycgr3G75734,YNL181W
Mycgr3G62164,YJR070C
Mycgr3G104916,YNL301C
Mycgr3G12526,YIL039W
Mycgr3G50786,YDR454C
Mycgr3G32359,YPR097W
Mycgr3G74909,YMR022W
Mycgr3G98231,YGL143C
Mycgr3G65614,YPL237W
Mycgr3G69026,YKL056C
Mycgr3G47771,YPR082C
Mycgr3G102184,YLR420W
Mycgr3G70969,YKR068C
Mycgr3G54489,YKL069W
Mycgr3G72131,YJL029C
Mycgr3G98919,YML096W
Mycgr3G87525,YJR142W
Mycgr3G109172,YOR069W
Mycgr3G71190,YGR038W
Mycgr3G75475,YFR021W
Mycgr3G110944,YLR215C
Mycgr3G106548,YBR191W
Mycgr3G92578,YPL183C
Mycgr3G41334,YAR018C
Mycgr3G88442,YBL019W
Mycgr3G107492,YOR130C
Mycgr3G77508,YOR275C
Mycgr3G70544,YGL130W
Mycgr3G109697,YDR182W
Mycgr3G77145,YGR257C
Mycgr3G31514,YPR127W
Mycgr3G35581,YDR541C
Mycgr3G67122,YGL001C
Mycgr3G103402,YDR036C
Mycgr3G73148,YGL136C
Mycgr3G72169,YMR200W
Mycgr3G74468,YPL188W
Mycgr3G71244,YPL224C
Mycgr3G76625,YOR124C
Mycgr3G43039,YER051W
Mycgr3G102897,YGL087C
Mycgr3G70436,YDR049W
Mycgr3G72443,YLR191W
Mycgr3G25320,YLR286C
Mycgr3G110027,YMR020W
Mycgr3G73547,YBL020W
Mycgr3G110058,YPR137W
Mycgr3G92162,YMR259C
Mycgr3G106782,YNL001W
Mycgr3G51359,YJL093C
Mycgr3G111064,YGL224C
Mycgr3G72463,YNR035C
Mycgr3G66129,YPL244C
Mycgr3G40773,YJR025C
Mycgr3G75418,YIL145C
Mycgr3G31712,YJL126W
Mycgr3G74677,YGL173C
Mycgr3G24351,YMR171C
Mycgr3G72130,YAL002W
Mycgr3G41865,YOL010W
Mycgr3G106181,YBL003C
Mycgr3G75295,YMR178W
Mycgr3G28846,YOL123W
Mycgr3G110044,YKR105C
Mycgr3G77491,YDL064W
Mycgr3G76808,YJR124C
Mycgr3G100507,YKL059C
Mycgr3G108755,YPL234C
Mycgr3G110888,YIL015W
Mycgr3G104351,YCR010C
Mycgr3G99206,YMR004W
Mycgr3G74836,YOR164C
Mycgr3G63449,YHL004W
Mycgr3G68653,YKL073W
Mycgr3G17705,YHR115C
Mycgr3G28602,YLR009W
Mycgr3G98928,YDR098C
Mycgr3G98854,YDR496C
Mycgr3G31648,YLR285W
Mycgr3G102491,YGR159C
Mycgr3G43763,YDL210W
Mycgr3G73380,YJL002C
Mycgr3G42189,YBR056W
Mycgr3G68089,YNL072W
Mycgr3G65574,YMR093W
Mycgr3G12608,YBR187W
Mycgr3G109450,YNR034W
Mycgr3G73399,YHR141C
Mycgr3G37446,YPL051W
Mycgr3G55823,YHR100C
Mycgr3G111035,YNL313C
Mycgr3G85716,YDR400W
Mycgr3G49928,YGL124C
Mycgr3G42503,YIL099W
Mycgr3G12076,YHR082C
Mycgr3G82536,YMR305C
Mycgr3G49226,YGR163W
Mycgr3G65854,YOR251C
Mycgr3G69392,YGR152C
Mycgr3G89870,YLL051C
Mycgr3G102589,YIR037W
Mycgr3G62752,YJL134W
Mycgr3G110783,YDR416W
Mycgr3G73582,YPL135W
Mycgr3G99301,YBR146W
Mycgr3G77496,YGR220C
Mycgr3G41284,YBR176W
Mycgr3G72191,YPL236C
Mycgr3G100162,YNL221C
Mycgr3G101279,YNL083W
Mycgr3G99699,YNR007C
Mycgr3G102416,YPL096W
Mycgr3G74463,YGL067W
Mycgr3G65395,YKR043C
Mycgr3G110727,YOL141W
Mycgr3G70729,YOL152W
Mycgr3G104624,YDR447C
Mycgr3G33257,YKL218C
Mycgr3G53507,YBL050W
Mycgr3G20459,YPL153C
Mycgr3G98257,YML012W
Mycgr3G110502,YHR088W
Mycgr3G48386,YDR323C
Mycgr3G100684,YNL320W
Mycgr3G93207,YNL168C
Mycgr3G101415,YLR121C
Mycgr3G72509,YER170W
Mycgr3G68429,YDR247W
Mycgr3G59963,YDR471W
Mycgr3G35093,YNL222W
Mycgr3G22198,YPR157W
Mycgr3G74842,YPL252C
Mycgr3G75163,YLR370C
Mycgr3G68980,YLR268W
Mycgr3G108219,YBL078C
Mycgr3G66375,YDL104C
Mycgr3G34626,YAL015C
Mycgr3G71895,YLR459W
Mycgr3G103110,YDL124W
Mycgr3G67099,YML131W
Mycgr3G73004,YBR009C
Mycgr3G96686,YGR001C
Mycgr3G102814,YKL207W
Mycgr3G75784,YKL033W-A
Mycgr3G72564,YML106W
Mycgr3G11203,YKL179C
Mycgr3G72054,YNR020C
Mycgr3G73816,YMR208W
Mycgr3G65576,YGR046W
Mycgr3G82853,YER072W
Mycgr3G75774,YLR270W
Mycgr3G99446,YKL172W
Mycgr3G99074,YKL009W
Mycgr3G85380,YDL052C
Mycgr3G67041,YLR422W
Mycgr3G87682,YGR110W
Mycgr3G89513,YJL057C
Mycgr3G71455,YML060W
Mycgr3G25899,YGL019W
Mycgr3G42543,YIL106W
Mycgr3G70002,YCL001W
Mycgr3G37171,YGR246C
Mycgr3G108883,YNR017W
Mycgr3G34966,YOR311C
Mycgr3G98180,YNL302C
Mycgr3G109512,YHR075C
Mycgr3G86354,YBR289W
Mycgr3G33976,YJL030W
Mycgr3G71479,YER122C
Mycgr3G69961,YKR087C
Mycgr3G86219,YMR055C
Mycgr3G23780,YDR440W
Mycgr3G84372,YBR026C
Mycgr3G69716,YLR206W
Mycgr3G101103,YNL007C
Mycgr3G109027,YKL072W
Mycgr3G66582,YBR293W
Mycgr3G58858,YOR332W
Mycgr3G11429,YKL116C
Mycgr3G40264,YJL031C
Mycgr3G68217,YAL010C
Mycgr3G111377,YKL087C
Mycgr3G63574,YDL125C
Mycgr3G109418,YGL054C
Mycgr3G38315,YDR419W
Mycgr3G36249,YPR192W
Mycgr3G47503,YNL025C
Mycgr3G84074,YGL200C
Mycgr3G87670,YCR019W
Mycgr3G67720,YIR022W
Mycgr3G111433,YDR006C
Mycgr3G70401,YGL064C
Mycgr3G100492,YGR184C
Mycgr3G68937,YKL018W
Mycgr3G68026,YDR002W
Mycgr3G61494,YDR054C
Mycgr3G106182,YBL002W
Mycgr3G66728,YAL003W
Mycgr3G10126,YLR084C
Mycgr3G65536,YDR058C
Mycgr3G111324,YPR128C
Mycgr3G64294,YMR113W
Mycgr3G98298,YIL038C
Mycgr3G71906,YFR018C
Mycgr3G50480,YJR002W
Mycgr3G65370,YKL092C
Mycgr3G35593,YKL002W
Mycgr3G107412,YLR170C
Mycgr3G99023,YNR056C
Mycgr3G98665,YEL004W
Mycgr3G46643,YOL012C
Mycgr3G35120,YIL053W
Mycgr3G75752,YJL112W
Mycgr3G76618,YHR089C
Mycgr3G69467,YDL090C
Mycgr3G68326,YEL021W
Mycgr3G73778,YOL143C
Mycgr3G88222,YGR007W
Mycgr3G46635,YCR063W
Mycgr3G73048,YDR373W
Mycgr3G103797,YOR150W
Mycgr3G57411,YKL213C
Mycgr3G102541,YKL016C
Mycgr3G27852,YLL027W
Mycgr3G107715,YDR013W
Mycgr3G58554,YMR260C
Mycgr3G75672,YEL026W
Mycgr3G63665,YBR081C
Mycgr3G53469,YNL094W
Mycgr3G107174,YDR389W
Mycgr3G70181,YLR006C
Mycgr3G61986,YDL209C
Mycgr3G110529,YHR166C
Mycgr3G68497,YER100W
Mycgr3G33116,YDL193W
