gene_id,class,interaction_sig,gene_name,description
Mycgr3G111032,ns,False,,XPG I-region
Mycgr3G111035,shared,True,,TPR repeat
Mycgr3G111039,ns,False,,Acyltransferase family
Mycgr3G111040,ns,False,,Glycosyltransferase family 32 protein
Mycgr3G111045,ns,False,,Acyltransferase family
Mycgr3G111048,ns,False,FES1,Nucleotide exchange factor Fes1
Mycgr3G111049,ns,False,,
Mycgr3G111052,fungicide-specific,False,,
Mycgr3G111056,ns,False,,
Mycgr3G111058,ns,True,,
Mycgr3G111064,ns,False,SDT1,Haloacid dehalogenase-like hydrolase
Mycgr3G111065,ns,False,,
Mycgr3G111066,ns,False,,K homology RNA-binding domain
Mycgr3G111069,ns,False,,Ribosomal protein L40
Mycgr3G111073,fungicide-specific,True,TOM40,Eukaryotic porin
Mycgr3G111074,ns,False,ARO80,GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain
Mycgr3G111077,fungicide-specific,True,,FAD binding domain
Mycgr3G111080,fungicide-specific,False,,GATA transcription factor
Mycgr3G111085,fungicide-specific,False,,Phosphatidylserine decarboxylase
Mycgr3G111096,ns,False,,Fungal specific transcription factor domain
Mycgr3G111101,ns,False,,
Mycgr3G111102,fungicide-specific,False,,
Mycgr3G111104,ns,True,,Mitochondrial branched-chain alpha-ketoacid dehydrogenase kinase
Mycgr3G111105,ns,False,,Whi5 like
Mycgr3G111108,ns,False,ETF1,Electron transfer flavoprotein domain
Mycgr3G111117,fungicide-specific,False,,Lipase b
Mycgr3G111124,ns,False,,Belongs to the short-chain dehydrogenases reductases (SDR) family
Mycgr3G111127,ns,False,,Pentatricopeptide repeat domain
Mycgr3G111130,ns,False,,Alpha-L-arabinofuranosidase C-terminus
Mycgr3G111138,ns,False,,
Mycgr3G111159,shared,True,,
Mycgr3G111160,ns,False,,hit finger
Mycgr3G111161,ns,True,NAB3,RNA recognition motif
Mycgr3G111162,ns,False,,RF-1 domain
Mycgr3G111164,ns,False,HPC2,HPC2 and ubinuclein domain
Mycgr3G111166,fungicide-specific,True,,
Mycgr3G111173,fungicide-specific,False,,
Mycgr3G111177,ns,False,,
Mycgr3G111178,shared,False,,Mannosyltransferase putative
Mycgr3G111181,fungicide-specific,True,NUP159,Nuclear pore complex
Mycgr3G111189,heat-specific,False,,Domain of unknown function (DUF1772)
Mycgr3G111192,fungicide-specific,False,,SH3 domain-containing protein
Mycgr3G111193,shared,False,,
Mycgr3G111195,ns,False,,
Mycgr3G111197,fungicide-specific,False,,FMN-dependent dehydrogenase
Mycgr3G111203,ns,False,,
Mycgr3G111204,heat-specific,False,RGR1,Mediator complex subunit MED14
Mycgr3G111210,ns,False,,Whi5 like
Mycgr3G111215,ns,False,SKI3,Tetratricopeptide repeat
Mycgr3G111221,ns,False,,Lysin motif
Mycgr3G111223,ns,False,,Tetratricopeptide repeat
Mycgr3G111224,ns,False,,Glycoside hydrolase family 5 protein
Mycgr3G111226,ns,False,,Elongation factor Tu GTP binding domain
Mycgr3G111231,fungicide-specific,False,,
Mycgr3G111233,heat-specific,False,,Cbs domain-containing protein
Mycgr3G111234,heat-specific,False,,Ureidoglycolate lyase
Mycgr3G111235,heat-specific,False,,Belongs to the glycosyl hydrolase 47 family
Mycgr3G111246,fungicide-specific,True,,ARID/BRIGHT DNA binding domain
Mycgr3G111248,fungicide-specific,False,CHO1,Belongs to the CDP-alcohol phosphatidyltransferase class-I family
Mycgr3G111249,ns,False,,AMMECR1
Mycgr3G111250,fungicide-specific,False,,Aldose 1-epimerase
Mycgr3G111251,heat-specific,False,FCR1,GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain
Mycgr3G111257,fungicide-specific,False,,
Mycgr3G111258,ns,False,,lactoylglutathione lyase activity
Mycgr3G111263,ns,False,,
Mycgr3G111265,heat-specific,False,,
Mycgr3G111278,ns,False,,Zinc finger C-x8-C-x5-C-x3-H type (and similar)
Mycgr3G111281,fungicide-specific,False,,Ca2+ regulator and membrane fusion protein Fig1
Mycgr3G111289,ns,False,,
Mycgr3G111290,ns,False,PBP2,Pfam:KH_3
Mycgr3G111295,fungicide-specific,True,prh1,Helicase associated domain (HA2)  Add an annotation
Mycgr3G111297,ns,False,,dienelactone hydrolase
Mycgr3G111299,ns,False,,Methyltransferase domain
Mycgr3G111305,ns,False,,"Serine aminopeptidase, S33"
Mycgr3G111306,fungicide-specific,False,,
Mycgr3G111307,ns,False,,
Mycgr3G111308,ns,False,bioDA,AAA domain
Mycgr3G111309,ns,True,KGD2,2-oxoacid dehydrogenases acyltransferase (catalytic domain)
Mycgr3G111313,fungicide-specific,False,SQS1,G-patch domain
Mycgr3G111320,ns,False,,Major Facilitator Superfamily
Mycgr3G111322,ns,False,,Bromo adjacent homology domain
Mycgr3G111324,ns,False,ANT1,Belongs to the mitochondrial carrier (TC 2.A.29) family
Mycgr3G111327,ns,False,GAD2,Beta-eliminating lyase
Mycgr3G111335,fungicide-specific,False,,
Mycgr3G111338,fungicide-specific,False,MCA1,Caspase domain
Mycgr3G111342,ns,False,,
Mycgr3G111345,heat-specific,False,,
Mycgr3G111352,ns,False,,
Mycgr3G111361,ns,False,,
Mycgr3G111364,fungicide-specific,False,,
Mycgr3G111377,fungicide-specific,False,CYT2,Links covalently the heme group to the apoprotein of cytochrome c
Mycgr3G111379,ns,False,,shikimate 3-dehydrogenase (NADP+) activity
Mycgr3G111382,fungicide-specific,True,,
Mycgr3G111387,ns,True,DRE2,Component of the cytosolic iron-sulfur (Fe-S) protein assembly (CIA) machinery. Required for the maturation of extramitochondrial Fe-S proteins. Part of an electron transfer chain functioning in an early step of cytosolic Fe-S biogenesis. Electrons are transferred to the Fe-S cluster from NADPH via the FAD- and FMN-containing protein TAH18. Has anti-apoptotic effects in the cell. Involved in negative control of H(2)O(2)-induced cell death
Mycgr3G111394,ns,True,,ICE2
Mycgr3G111396,ns,False,,
Mycgr3G111397,fungicide-specific,False,,
Mycgr3G111399,fungicide-specific,False,,Belongs to the cytochrome P450 family
Mycgr3G111412,shared,False,,STF2-like protein
Mycgr3G111413,shared,True,,
Mycgr3G111414,shared,False,,
Mycgr3G111415,heat-specific,False,,
Mycgr3G111417,fungicide-specific,False,MEP,Fungalysin/Thermolysin Propeptide Motif
Mycgr3G111425,heat-specific,False,,
Mycgr3G11143,heat-specific,False,,Peptidase family M3
Mycgr3G111431,ns,False,,
Mycgr3G111432,ns,False,CIA1,Essential component of the cytosolic iron-sulfur (Fe S) protein assembly machinery. Required for the maturation of extramitochondrial Fe S proteins
Mycgr3G111433,ns,False,SOK1,T-complex protein 11
Mycgr3G111436,ns,False,GET1,"Required for the post-translational delivery of tail- anchored (TA) proteins to the endoplasmic reticulum. Acts as a membrane receptor for soluble GET3, which recognizes and selectively binds the transmembrane domain of TA proteins in the cytosol"
Mycgr3G111438,fungicide-specific,False,,"Biotin-protein ligase, N terminal"
Mycgr3G111439,ns,False,,AFG1-like ATPase
Mycgr3G111441,ns,False,,
Mycgr3G111447,ns,False,,Belongs to the helicase family. RecQ subfamily
Mycgr3G111450,ns,False,,mitochondrial export translocase
Mycgr3G111451,fungicide-specific,True,ALG11,Glycosyltransferase family 4 protein
Mycgr3G111465,ns,False,,Protein of unknown function (DUF3405)
Mycgr3G111468,heat-specific,True,,
Mycgr3G111470,ns,False,,Nuclear cap-binding protein subunit 3
Mycgr3G111474,ns,False,DES1,Sphingolipid Delta4-desaturase (DES)
Mycgr3G111475,ns,False,,Domain of unknown function (DUF2431)
Mycgr3G111476,ns,False,,Common central domain of tyrosinase
Mycgr3G111479,fungicide-specific,True,,Only prolin and serin are matching in the corresponding protein
Mycgr3G111480,fungicide-specific,False,,SUR7/PalI family
Mycgr3G111482,ns,False,,cell wall protein
Mycgr3G111483,ns,False,,
Mycgr3G111491,ns,False,EFM6,S-adenosyl-L-methionine-dependent protein-lysine N- methyltransferase that methylates elongation factor 1-alpha
Mycgr3G111494,ns,False,RTT106,Histone chaperone Rttp106-like
Mycgr3G111495,ns,True,,Tctex-1 family
Mycgr3G111497,ns,False,PBP1,LsmAD
Mycgr3G111498,ns,False,BUD6,Actin interacting protein 3
Mycgr3G111499,fungicide-specific,True,GLE2,"WD domain, G-beta repeat"
Mycgr3G111502,fungicide-specific,False,,Life-span regulatory factor
Mycgr3G111505,shared,False,,
Mycgr3G111506,ns,False,SOG2,RAM signalling pathway protein
Mycgr3G111518,fungicide-specific,True,,PPR repeat family
Mycgr3G111534,ns,False,HLJ1,Domain of unknown function (DUF1977)
Mycgr3G111537,ns,False,,
Mycgr3G111542,ns,False,,
Mycgr3G111548,ns,False,,
Mycgr3G111549,fungicide-specific,False,,Shugoshin C terminus
Mycgr3G111551,ns,False,CRM1,CRM1 C terminal
Mycgr3G111557,ns,False,,
Mycgr3G111559,heat-specific,True,MTR4,DSHCT
Mycgr3G111565,ns,True,SCS2,MSP (Major sperm protein) domain
Mycgr3G111569,fungicide-specific,False,,GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain
Mycgr3G111572,ns,False,,Belongs to the peptidase S33 family
Mycgr3G111575,fungicide-specific,False,CDC10,Belongs to the TRAFAC class TrmE-Era-EngA-EngB-Septin- like GTPase superfamily. Septin GTPase family
Mycgr3G111586,fungicide-specific,False,,Major Facilitator Superfamily
Mycgr3G111591,fungicide-specific,False,,Proteoglycan 4
Mycgr3G111597,ns,False,,
Mycgr3G111598,ns,False,,Major Facilitator Superfamily
Mycgr3G111600,ns,False,,
Mycgr3G111601,fungicide-specific,True,,
Mycgr3G111606,ns,False,SUR7,SUR7/PalI family
Mycgr3G111611,fungicide-specific,False,MET3,"Catalyzes the first intracellular reaction of sulfate assimilation, forming adenosine-5'-phosphosulfate (APS) from inorganic sulfate and ATP. Plays an important role in sulfate activation as a component of the biosynthesis pathway of sulfur- containing amino acids"
Mycgr3G111620,shared,False,,Acetyltransferase (GNAT) domain
Mycgr3G111623,fungicide-specific,True,,
Mycgr3G111636,fungicide-specific,False,,Pathogen effector; putative necrosis-inducing factor
Mycgr3G111641,ns,False,EPT1,Belongs to the CDP-alcohol phosphatidyltransferase class-I family
Mycgr3G111644,ns,False,,
Mycgr3G111645,ns,False,,glycine rich nucleic binding domain
Mycgr3G111647,ns,False,,Major Facilitator Superfamily
Mycgr3G111656,ns,False,,
Mycgr3G111657,ns,False,,cfem domain-containing protein
Mycgr3G111659,ns,False,,PH domain-containing protein
Mycgr3G111676,ns,False,,
Mycgr3G111677,fungicide-specific,True,,
Mycgr3G111686,ns,False,,Major Facilitator Superfamily
Mycgr3G111695,shared,False,agdC,Belongs to the glycosyl hydrolase 31 family
Mycgr3G111698,fungicide-specific,False,,OPT oligopeptide transporter protein
Mycgr3G111700,ns,False,,
Mycgr3G111705,ns,False,csnB,PCI/PINT associated module
Mycgr3G111706,ns,False,,
Mycgr3G111708,fungicide-specific,False,,
Mycgr3G111710,fungicide-specific,False,,KR domain
Mycgr3G111714,fungicide-specific,False,,zinc finger
Mycgr3G111715,ns,False,cnxH,"Catalytic subunit of the molybdopterin synthase complex, a complex that catalyzes the conversion of precursor Z into molybdopterin. Acts by mediating the incorporation of 2 sulfur atoms from thiocarboxylated MOCS2A into precursor Z to generate a dithiolene group"
Mycgr3G111717,ns,True,,"Catalyzes the radical-mediated insertion of two sulfur atoms into the C-6 and C-8 positions of the octanoyl moiety bound to the lipoyl domains of lipoate-dependent enzymes, thereby converting the octanoylated domains into lipoylated derivatives"
Mycgr3G111728,ns,False,,
Mycgr3G111731,ns,False,,
Mycgr3G111732,ns,False,,
Mycgr3G111733,ns,False,,helicase superfamily c-terminal domain
Mycgr3G111734,fungicide-specific,False,,
Mycgr3G111735,ns,False,,
Mycgr3G111736,ns,False,,
Mycgr3G111739,ns,False,,
Mycgr3G111740,ns,False,,
Mycgr3G111745,fungicide-specific,False,,HNH endonuclease
Mycgr3G111747,ns,False,,
Mycgr3G11175,ns,False,,Zinc-finger domain of monoamine-oxidase A repressor R1
Mycgr3G111751,heat-specific,False,,Domain of unknown function (DUF1708)
Mycgr3G111752,fungicide-specific,False,,
Mycgr3G111755,fungicide-specific,True,,
Mycgr3G111756,ns,False,,
Mycgr3G111757,heat-specific,False,,
Mycgr3G111760,ns,False,,
Mycgr3G111761,ns,False,,PSP1 C-terminal conserved region
Mycgr3G111767,ns,False,,
Mycgr3G111768,ns,False,,
Mycgr3G111769,ns,False,,
Mycgr3G111771,ns,False,,
Mycgr3G111774,ns,False,,
Mycgr3G111776,ns,False,,
Mycgr3G111778,ns,False,,
Mycgr3G111781,ns,False,,
Mycgr3G111784,fungicide-specific,False,,
Mycgr3G111788,fungicide-specific,True,SRC1,Man1-Src1p-C-terminal domain
Mycgr3G111789,ns,False,,
Mycgr3G111792,ns,False,,
Mycgr3G111794,fungicide-specific,False,,
Mycgr3G111795,fungicide-specific,False,,Ig-like domain from next to BRCA1 gene
Mycgr3G111796,ns,False,,
Mycgr3G111797,ns,False,,
Mycgr3G111799,ns,False,,
Mycgr3G111800,ns,False,,
Mycgr3G111803,ns,False,,
Mycgr3G111806,heat-specific,False,,
Mycgr3G111811,heat-specific,False,,
Mycgr3G111813,ns,False,,
Mycgr3G111815,ns,False,,
Mycgr3G11191,ns,False,,GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain
Mycgr3G11203,ns,False,,CASP C terminal
Mycgr3G11243,ns,False,,ER-Golgi trafficking TRAPP I complex 85 kDa subunit
Mycgr3G11322,shared,True,UTP25,"Utp25, U3 small nucleolar RNA-associated SSU processome protein 25"
Mycgr3G11389,shared,True,,Ring finger protein
Mycgr3G11429,ns,False,,Protein tyrosine kinase
Mycgr3G11445,ns,False,,Transcriptional repressor TCF25
Mycgr3G11455,heat-specific,False,,GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain
Mycgr3G11465,ns,False,,HbrB-like
Mycgr3G11468,ns,False,,Fungal specific transcription factor domain
Mycgr3G11476,ns,False,,Protein of unknown function (DUF3435)
Mycgr3G11578,heat-specific,False,,"SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain"
Mycgr3G11643,ns,False,,Belongs to the peptidase S10 family
Mycgr3G11650,ns,False,,Fungal specific transcription factor domain
Mycgr3G11769,heat-specific,False,,Common central domain of tyrosinase
Mycgr3G11773,ns,False,eso1,impB/mucB/samB family
Mycgr3G11785,fungicide-specific,False,,Fungal specific transcription factor domain
Mycgr3G11841,ns,False,,Mysoin-binding motif of peroxisomes
Mycgr3G12048,ns,False,,HMGL-like
Mycgr3G12051,fungicide-specific,True,,Domain of unknown function (DUF1929)
Mycgr3G12076,ns,False,TPK2,Kinase-like
Mycgr3G12135,ns,False,,
Mycgr3G12167,ns,False,,
Mycgr3G12169,ns,False,,Lipoxygenase
Mycgr3G12260,ns,False,ERF2,Belongs to the DHHC palmitoyltransferase family
Mycgr3G12289,fungicide-specific,False,,Sugar (and other) transporter
Mycgr3G12335,ns,False,,Fungal specific transcription factor domain
Mycgr3G12394,ns,False,,Triose-phosphate Transporter family
Mycgr3G12418,ns,False,KCH1,Fungal potassium channel
Mycgr3G12465,ns,False,RTG2,Ppx/GppA phosphatase family
Mycgr3G12471,ns,False,,
Mycgr3G12498,ns,False,,
Mycgr3G12516,ns,False,,glycosyltransferase family 2 protein
Mycgr3G12526,ns,False,,Calcineurin-like phosphoesterase
Mycgr3G12562,fungicide-specific,False,,Sugar (and other) transporter
Mycgr3G12608,ns,False,GDT1,Uncharacterized protein family UPF0016
Mycgr3G12724,ns,False,,Pleckstrin homology domain.
Mycgr3G12793,ns,False,RTT109,Histone acetylation protein
Mycgr3G12838,fungicide-specific,True,,AMP-binding enzyme C-terminal domain
Mycgr3G12841,ns,False,,pentatricopeptide repeat protein
Mycgr3G12884,ns,False,MSC2,Cation efflux family
Mycgr3G12946,ns,False,,peroxisome organization
Mycgr3G12986,ns,False,ADA2,"Functions as component of the transcription regulatory histone acetylation (HAT) complexes SAGA, SALSA and ADA. SAGA is involved in RNA polymerase II-dependent transcriptional regulation"
Mycgr3G13283,ns,False,,FF domain
Mycgr3G13471,ns,False,,Zinc-finger double-stranded RNA-binding
Mycgr3G13483,fungicide-specific,True,,FAD binding domain
Mycgr3G13559,ns,False,,Acyltransferase family
Mycgr3G13610,ns,False,,OTT_1508-like deaminase
Mycgr3G13612,ns,False,,7 transmembrane receptor (Secretin family)
Mycgr3G13616,ns,False,,Prion-inhibition and propagation
Mycgr3G13691,ns,False,,
Mycgr3G13719,ns,False,,Belongs to the mitochondrial carrier (TC 2.A.29) family
Mycgr3G13866,ns,False,,Uncharacterised protein family UPF0052
Mycgr3G13934,ns,False,SLU7,Pre-mRNA splicing Prp18-interacting factor
Mycgr3G14031,ns,False,,NACHT domain
Mycgr3G14038,ns,False,,dienelactone hydrolase
Mycgr3G14092,ns,False,POP2,CAF1 family ribonuclease
Mycgr3G14095,ns,False,PUT1,Converts proline to delta-1-pyrroline-5-carboxylate
Mycgr3G14239,ns,False,,Glycoside hydrolase family 39 protein
Mycgr3G14264,ns,False,,"Zinc finger, C2H2 type"
Mycgr3G14307,ns,False,,"RPAP1-like, C-terminal"
Mycgr3G14413,ns,False,,2OG-Fe(II) oxygenase superfamily
Mycgr3G14483,ns,False,RRD1,PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
Mycgr3G14486,ns,True,,MOSC N-terminal beta barrel domain
Mycgr3G14505,fungicide-specific,False,,Pumilio-family RNA binding repeat
Mycgr3G14514,fungicide-specific,False,rec14,"WD domain, G-beta repeat"
Mycgr3G14552,fungicide-specific,False,png1,Transglutaminase-like superfamily
Mycgr3G14560,heat-specific,False,,Major Facilitator Superfamily
Mycgr3G14586,heat-specific,False,,Tat pathway signal sequence
Mycgr3G14611,ns,False,,Major Facilitator Superfamily
Mycgr3G14664,ns,False,,G protein-coupled glucose receptor regulating Gpa2
Mycgr3G14673,heat-specific,False,,Glycosyltransferase family 31 protein
Mycgr3G14682,ns,False,,Pfam:Git3_C
Mycgr3G14739,ns,False,AIM6,Altered inheritance of mitochondria protein 6
Mycgr3G14773,ns,False,,cfem domain-containing protein
Mycgr3G14795,fungicide-specific,False,,Pyridine nucleotide-disulphide oxidoreductase
Mycgr3G14832,fungicide-specific,True,,Glycosyltransferase sugar-binding region containing DXD motif
Mycgr3G14838,ns,False,,"Four repeated domains in the Fasciclin I family of proteins, present in many other contexts."
Mycgr3G14857,ns,False,,Peptidase family C78
Mycgr3G14858,ns,False,CDC73,"RNA pol II accessory factor, Cdc73 family, C-terminal"
Mycgr3G14888,ns,False,,"CRAL/TRIO, N-terminal domain"
Mycgr3G14920,ns,False,,Casein kinase II beta 2 subunit
Mycgr3G15056,ns,False,,"Peroxidase, family 2"
Mycgr3G15092,ns,False,,integral membrane protein
Mycgr3G15111,ns,False,,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain"
Mycgr3G15118,ns,False,,Ecdysteroid kinase
Mycgr3G15121,ns,False,,
Mycgr3G15195,ns,False,,Lipase (class 3)
Mycgr3G15247,ns,False,,Maintenance of mitochondrial structure and function
Mycgr3G15276,ns,False,,Putative SAM-dependent methyltransferase
Mycgr3G15337,ns,False,,
Mycgr3G15375,ns,False,,Protein of unknown function (DUF2985)
Mycgr3G15445,ns,False,,family decarboxylase
Mycgr3G15476,ns,False,,Glycoside hydrolase family 16 protein
Mycgr3G15483,ns,False,,A Receptor for Ubiquitination Targets
Mycgr3G15548,heat-specific,False,,gliotoxin biosynthesis protein
Mycgr3G15552,heat-specific,False,BDF1,Bromodomain extra-terminal - transcription regulation
Mycgr3G15557,ns,False,,PLC-like phosphodiesterase
Mycgr3G15571,fungicide-specific,False,,"Taurine catabolism dioxygenase TauD, TfdA family"
Mycgr3G15599,ns,False,,Glycosyl hydrolase family 76
Mycgr3G15610,ns,False,SEC62,Translocation protein Sec62
Mycgr3G15613,ns,False,,Putative adipose-regulatory protein (Seipin)
Mycgr3G15641,ns,False,MAG1,endonuclease III
Mycgr3G15658,ns,False,RRP42,"3' exoribonuclease family, domain 1"
Mycgr3G15670,ns,False,,
Mycgr3G15671,fungicide-specific,True,RSM24,Mitochondrial ribosomal subunit protein
Mycgr3G15680,ns,False,,C2H2-type zinc finger
Mycgr3G15728,ns,False,,Putative RNA methyltransferase
Mycgr3G15744,fungicide-specific,False,,Glycosyltransferase family 17 protein
Mycgr3G15769,ns,False,,GDSL-like Lipase/Acylhydrolase family
Mycgr3G15828,ns,False,,
Mycgr3G15838,ns,False,,Thaumatin family
Mycgr3G15870,heat-specific,True,,clavaminate synthase-like protein
Mycgr3G15872,ns,False,LSP1,Eisosome component PIL1
Mycgr3G15902,heat-specific,False,FMT1,Formyl transferase
Mycgr3G15930,ns,False,,Palmitoyl protein thioesterase
Mycgr3G16031,ns,False,,Sel1-like repeats.
Mycgr3G16140,ns,False,,Metallo-beta-lactamase superfamily
Mycgr3G16155,ns,False,,Coiled-coil domain-containing protein 55 (DUF2040)
Mycgr3G16232,ns,False,,Glycoside hydrolase family 16 protein
Mycgr3G16302,ns,False,,
Mycgr3G16306,ns,False,PHO80,Cyclin
Mycgr3G16314,fungicide-specific,False,,FAD binding domain
Mycgr3G16357,ns,True,,Enoyl-CoA hydratase/isomerase
Mycgr3G16557,fungicide-specific,False,MTR3,"3' exoribonuclease family, domain 1"
Mycgr3G16590,shared,True,,AMP-binding enzyme
Mycgr3G16614,ns,False,,
Mycgr3G16721,heat-specific,False,,Alcohol dehydrogenase GroES-like domain
Mycgr3G16732,ns,False,,
Mycgr3G16788,fungicide-specific,False,,Amidohydrolase
Mycgr3G16863,ns,False,MUP3,methionine permease
Mycgr3G16902,ns,False,,
Mycgr3G16972,heat-specific,False,,Voltage-dependent anion channel
Mycgr3G16974,ns,False,,Phosphotransferase enzyme family
Mycgr3G17006,ns,False,,Arylesterase
Mycgr3G17058,ns,False,,Universal stress protein family
Mycgr3G17138,fungicide-specific,False,,Fcf1
Mycgr3G17146,ns,False,,Rab subfamily of small GTPases
Mycgr3G17184,ns,False,,Glyoxalase-like domain
Mycgr3G17219,ns,False,BCP1,"Involved in nuclear export, actin cytoskeleton organization and vesicular transport"
Mycgr3G17273,ns,False,,Belongs to the peroxisomal membrane protein PXMP2 4 family
Mycgr3G17293,ns,False,,Efflux pump antibiotic resistance protein
Mycgr3G17296,fungicide-specific,False,,
Mycgr3G17298,fungicide-specific,False,,Heterokaryon incompatibility protein (HET)
Mycgr3G17373,ns,False,,BTB/POZ domain
Mycgr3G17404,ns,False,THI80,"Thiamin pyrophosphokinase, vitamin B1 binding domain"
Mycgr3G17412,heat-specific,False,,Mitochondrial 18 KDa protein (MTP18)
Mycgr3G17425,ns,False,CALML4,Calcium-binding protein
Mycgr3G17443,heat-specific,False,,
Mycgr3G17456,fungicide-specific,False,,Acetyltransferase (GNAT) domain
Mycgr3G17463,ns,False,,nadh-ubiquinone oxidoreductase
Mycgr3G17474,ns,False,,Eukaryotic-type carbonic anhydrase
Mycgr3G17477,ns,False,,BTB/POZ domain
Mycgr3G17581,ns,False,,HECT-like Ubiquitin-conjugating enzyme (E2)-binding
Mycgr3G17624,fungicide-specific,False,,Pyroglutamyl peptidase
Mycgr3G17645,heat-specific,False,,Optic atrophy 3 protein (OPA3)
Mycgr3G17705,ns,False,,Forkhead associated domain
Mycgr3G17722,ns,False,YAF9,YEATS family
Mycgr3G17735,ns,False,,Cupin
Mycgr3G17773,fungicide-specific,True,,Ring finger
Mycgr3G17787,shared,False,,
Mycgr3G17823,ns,False,LCL3,Staphylococcal nuclease homologues
Mycgr3G17842,fungicide-specific,True,,Alpha/beta hydrolase family
Mycgr3G17853,ns,False,,Protein of unknown function (DUF2034)
Mycgr3G17862,fungicide-specific,False,,thiaminase activity
Mycgr3G17876,ns,False,,Disordered region of unknown function (DUF5315)
Mycgr3G17882,ns,False,,Flavoprotein
Mycgr3G17911,shared,False,,thioesterase
Mycgr3G18034,ns,False,,PPPDE putative peptidase domain
Mycgr3G18037,fungicide-specific,False,,Sas10/Utp3/C1D family
Mycgr3G18057,heat-specific,False,cms1,U3-containing 90S pre-ribosomal complex subunit
Mycgr3G18164,fungicide-specific,False,,Methyltransferase domain
Mycgr3G18172,fungicide-specific,False,,G-beta repeat protein
Mycgr3G18212,fungicide-specific,False,,Cutinase
Mycgr3G18217,ns,False,,Pyridoxamine 5'-phosphate oxidase
Mycgr3G18237,ns,False,,
Mycgr3G18277,fungicide-specific,True,,
Mycgr3G18313,ns,False,,upf0643 protein
Mycgr3G18344,fungicide-specific,True,,Ribosomal protein S18
Mycgr3G18390,ns,False,,Erv1 / Alr family
Mycgr3G18396,fungicide-specific,False,,Nucleolar protein 12 (25kDa)
Mycgr3G18432,ns,False,,Domain of unknown function (DUF3328)
Mycgr3G18438,ns,False,,Heterokaryon incompatibility protein (HET)
Mycgr3G18448,ns,False,,Protein tyrosine kinase
Mycgr3G18493,ns,False,,Myb-like DNA-binding domain
Mycgr3G18515,ns,False,,Coiled-coil domain-containing protein 124
Mycgr3G18562,fungicide-specific,False,,Myb-like DNA-binding domain
Mycgr3G18598,ns,False,,
Mycgr3G18625,shared,True,,Acetyltransferase (GNAT) domain
Mycgr3G18631,ns,False,,Coiled-coil domain containing protein (DUF2052)
Mycgr3G18718,heat-specific,False,,
Mycgr3G18721,ns,False,,Peptidase S24-like
Mycgr3G18762,fungicide-specific,False,,RPR
Mycgr3G18775,shared,False,SCD1,Scytalone dehydratase
Mycgr3G18783,ns,False,,AAA-ATPase Vps4-associated protein 1
Mycgr3G18811,shared,True,,
Mycgr3G18814,ns,False,img2,Mitochondrial large subunit ribosomal protein (Img2)
Mycgr3G18835,ns,False,,Rdx family
Mycgr3G18838,ns,False,,
Mycgr3G18839,ns,False,,"Essential protein Yae1, N terminal"
Mycgr3G18862,fungicide-specific,False,,
Mycgr3G18895,ns,False,TOM20,MAS20 protein import receptor
Mycgr3G18903,ns,False,,Thioesterase superfamily
Mycgr3G18931,ns,False,,Thioesterase superfamily
Mycgr3G18943,ns,False,,zinc finger
Mycgr3G18969,fungicide-specific,False,,Domain of unknown function (DUF4385)
Mycgr3G19026,fungicide-specific,False,,Thioesterase superfamily
Mycgr3G19099,ns,False,DTD1,D-Tyr-tRNA(Tyr) deacylase
Mycgr3G19110,fungicide-specific,True,,Ribosomal_L40e
Mycgr3G19171,fungicide-specific,False,,
Mycgr3G19203,fungicide-specific,False,DAD2,DASH complex subunit Dad2
Mycgr3G19271,fungicide-specific,False,,GCN5-like protein 1 (GCN5L1)
Mycgr3G19274,fungicide-specific,True,,Alternaria alternata allergen 1
Mycgr3G19276,shared,False,,Lytic transglycolase
Mycgr3G19289,ns,False,,
Mycgr3G19317,fungicide-specific,False,,
Mycgr3G19375,heat-specific,False,,
Mycgr3G19391,ns,False,uvi31,Belongs to the BolA IbaG family
Mycgr3G19397,ns,False,,PIG-P
Mycgr3G19550,fungicide-specific,False,,
Mycgr3G19553,ns,False,,Helix-loop-helix DNA-binding domain
Mycgr3G19562,ns,False,,
Mycgr3G19563,ns,False,COX19,Cytochrome c oxidase assembly protein Cox19
Mycgr3G19573,shared,True,NUG1,GNL3L/Grn1 putative GTPase
Mycgr3G19593,ns,False,,
Mycgr3G19618,fungicide-specific,True,lsm8,snRNP Sm proteins
Mycgr3G19626,ns,False,,NADH-ubiquinone oxidoreductase B12 subunit family
Mycgr3G19628,heat-specific,False,,short chain dehydrogenase
Mycgr3G19642,heat-specific,False,,
Mycgr3G19644,ns,False,,
Mycgr3G19663,fungicide-specific,False,,snRNP Sm proteins
Mycgr3G19719,ns,False,,
Mycgr3G19757,ns,False,,
